date,hour,range_bps,n_hl_binance,step_hl_binance,neg_hl_binance,pos_hl_binance,peak_hl_binance,n_okx_binance,step_okx_binance,neg_okx_binance,pos_okx_binance,peak_okx_binance
2026-07-18,0,18.1,2631,960.0,0.7628,0.3121,-1,7638,241.0,0.6784,0.6144,0
2026-07-18,1,19.7,2715,1008.0,0.6114,0.2283,-1,5652,290.0,0.7301,0.6274,0
2026-07-18,4,12.7,2071,1146.0,0.573,0.3379,1,4598,387.0,0.7522,0.6138,0
2026-07-18,6,9.4,1859,1478.0,0.184,0.0243,0,3981,406.0,0.5671,0.4691,0
2026-07-18,8,10.9,2938,810.0,0.6142,0.2252,-3,4831,388.0,0.7669,0.6224,-2
2026-07-18,9,10.6,2074,1138.0,0.5161,0.1101,-2,3937,500.0,0.7595,0.5549,-2
2026-07-18,11,15.2,1991,1007.0,0.4974,0.2826,2,7154,300.0,0.4408,0.2587,-1
2026-07-18,12,33.6,4546,536.0,0.6668,0.2364,-2,13257,113.0,0.4398,0.3609,-1
2026-07-18,14,15.3,3056,405.0,0.6618,0.1607,-1,7492,231.0,0.6164,0.584,-1
2026-07-18,15,20.7,2838,676.0,0.718,0.1471,-6,5978,270.0,0.7657,0.5881,-2
2026-07-18,17,38.3,4859,506.0,0.6543,0.1302,0,15884,59.0,0.4985,0.5084,0
2026-07-18,18,25.4,5612,405.0,0.6589,0.1737,-3,11776,96.0,0.441,0.2989,0
2026-07-18,20,37.5,3495,607.0,0.586,0.1611,-1,9239,136.0,0.4053,0.3189,-1
2026-07-18,23,19.9,2609,900.0,0.9328,0.0934,-1,7099,258.0,0.6882,0.4036,-3
2026-07-19,0,22.2,3470,609.0,0.7424,0.2001,-1,10606,130.0,0.5764,0.374,0
2026-07-19,2,40.3,2805,803.0,1.0219,0.2614,-1,11749,114.0,0.5873,0.4611,-2
2026-07-19,3,33.0,2313,942.0,0.875,0.1334,-1,10085,178.0,0.4793,0.3819,0
2026-07-19,5,23.6,2101,1011.0,0.6485,0.1584,-1,5570,283.0,0.6052,0.4134,0
2026-07-19,6,10.0,2095,1011.0,0.6438,0.099,-1,4487,401.0,0.516,0.5304,3
2026-07-19,8,18.5,2062,1074.0,0.9496,0.1429,-1,6654,266.0,0.5982,0.3484,0
2026-07-19,9,35.1,2740,674.0,0.4545,0.2595,0,9839,169.0,0.5607,0.3796,0
2026-07-19,11,30.7,2483,942.0,0.7489,0.2269,-1,9707,163.0,0.4011,0.2602,-4
2026-07-19,12,27.6,3191,741.0,0.7762,0.1693,-2,15940,102.0,0.365,0.2646,-1
2026-07-19,14,35.8,4443,420.0,0.8699,0.2295,-1,11230,145.0,0.5416,0.5299,-2
2026-07-19,15,20.1,2773,882.0,0.7792,0.1671,-2,7496,220.0,0.6145,0.6092,0
2026-07-19,17,55.9,4335,570.0,0.9977,0.1658,-2,11160,81.0,0.6573,0.4464,0
2026-07-19,18,40.3,3457,682.0,0.9909,0.0901,-2,10750,56.0,0.5839,0.6042,0
2026-07-19,20,12.7,2722,939.0,1.0316,0.1901,-1,5451,155.0,0.6328,0.6765,-1
2026-07-19,21,34.1,3734,607.0,0.6749,0.0173,-1,5737,154.0,0.5402,0.5118,-4
2026-07-19,23,33.1,3908,606.0,1.1118,0.3342,-1,9694,59.0,0.8049,0.79,-1
2026-07-20,0,105.4,6043,383.0,0.993,0.1995,-1,27164,37.0,0.6505,0.5514,-1
2026-07-20,2,52.6,4405,479.0,1.0266,0.3276,0,19523,38.0,0.5395,0.6049,-1
2026-07-20,3,43.2,3250,738.0,1.0627,0.3884,-2,12471,61.0,0.7552,0.7127,-1
2026-07-20,5,72.7,5266,400.0,1.1032,0.131,-1,31838,30.0,0.5088,0.4706,-1
2026-07-20,7,64.2,4511,535.0,0.9141,0.2395,-1,20469,57.0,0.5988,0.4813,0
2026-07-20,8,81.9,5287,415.0,0.7138,0.0425,-1,19215,63.0,0.7151,0.2651,-2
2026-07-20,10,40.0,4101,606.0,0.9461,0.2367,-2,10901,120.0,0.6394,0.5099,0
2026-07-20,11,126.8,6854,345.0,0.9405,0.091,-2,33014,32.0,0.578,0.3992,-2
2026-07-20,13,85.3,7015,317.0,1.094,0.1014,-2,36280,32.0,0.562,0.4935,-1
2026-07-20,14,80.4,7867,266.0,1.0633,0.119,-1,35471,25.0,0.5756,0.6077,0
2026-07-20,16,42.4,8068,278.0,1.0035,0.129,-1,26759,43.0,0.6878,0.4593,-1
2026-07-20,19,34.8,8513,269.0,0.6312,0.1569,-2,14547,58.0,0.594,0.3912,-1
2026-07-20,20,60.8,5312,481.0,0.6149,0.2999,1,9558,86.0,0.7587,0.4777,-1
2026-07-20,22,32.3,4243,604.0,0.8531,0.2165,-1,8283,115.0,0.7124,0.6578,-1
2026-07-20,23,23.7,3658,736.0,0.8007,0.2553,-1,7479,182.0,0.7758,0.6106,-1
2026-07-21,1,65.8,4894,535.0,0.8926,0.1543,-1,14681,93.0,0.5821,0.4892,0
2026-07-21,2,50.1,4316,603.0,0.7674,0.2263,-1,12692,85.0,0.6547,0.5999,-1
2026-07-21,4,40.1,5244,496.0,0.7587,0.2715,-2,14521,82.0,0.6795,0.5009,0
2026-07-21,5,62.4,5230,480.0,0.9453,0.2498,-1,15353,49.0,0.3715,0.27,-2
2026-07-21,7,56.9,6701,399.0,0.7148,0.0924,-1,26923,48.0,0.5619,0.2114,-2
2026-07-21,8,34.3,7597,335.0,0.7941,0.1435,-1,26212,54.0,0.6167,0.3973,-1
2026-07-21,10,34.9,5608,477.0,0.8339,0.2002,-2,16193,93.0,0.7708,0.4206,-1
2026-07-21,11,32.6,4673,605.0,0.7512,0.1129,-1,12070,141.0,0.7481,0.475,0
2026-07-21,13,71.7,9652,265.0,0.8408,0.0979,-1,35800,30.0,0.5909,0.4419,0
2026-07-21,14,46.7,11715,202.0,0.8991,0.1643,-1,40621,33.0,0.6069,0.2861,0
2026-07-21,16,43.8,7605,351.0,0.7928,0.1551,-1,15450,93.0,0.7038,0.615,-1
2026-07-21,17,65.6,8319,313.0,0.9877,0.3594,-3,18265,36.0,0.07,0.1155,6
2026-07-21,19,35.1,5970,475.0,0.7427,0.1471,-1,11737,36.0,0.7086,0.3704,-2
2026-07-21,22,25.5,5284,552.0,0.892,0.2141,-1,8542,120.0,0.5839,0.4767,0
2026-07-21,23,55.1,5614,535.0,0.5936,0.196,-2,10559,116.0,0.6192,0.4325,-1
2026-07-22,1,55.0,6320,408.0,0.7037,0.2169,-2,16485,60.0,0.6646,0.5159,0
2026-07-22,6,31.8,6786,403.0,0.621,0.1546,0,21114,65.0,0.6083,0.4232,-2
2026-07-22,9,35.9,5975,469.0,0.7412,0.1964,-1,11305,139.0,0.625,0.4991,-1
2026-07-22,11,29.2,7892,397.0,0.8326,0.117,-1,10362,100.0,0.4004,0.3351,-1
2026-07-22,12,69.6,7008,399.0,0.9845,0.1246,-2,19037,66.0,0.255,0.1733,0
2026-07-22,13,63.7,9142,269.0,0.949,0.2199,-1,28249,53.0,0.7245,0.5271,-1
2026-07-22,14,96.3,10316,207.0,0.8354,0.2132,-1,32968,33.0,0.6501,0.5078,-1
2026-07-22,15,50.8,8904,279.0,0.8055,0.1574,-1,22484,48.0,0.556,0.5388,-1
2026-07-22,16,70.7,7666,337.0,0.7498,0.1666,-1,23423,42.0,0.5265,0.4245,-1
2026-07-22,17,51.5,6692,403.0,0.807,0.288,-2,15636,70.0,0.6934,0.6224,-1
2026-07-22,18,55.5,7892,333.0,0.7017,0.1966,-1,13311,75.0,0.6229,0.5051,-1
2026-07-22,19,42.4,6858,404.0,0.7121,0.1775,-1,8924,106.0,0.7817,0.6535,-1
2026-07-22,20,30.5,5458,537.0,0.9409,0.1701,-1,7400,54.0,0.794,0.7776,0
2026-07-22,21,36.4,5023,603.0,0.8699,0.1022,0,6446,140.0,0.6074,0.4087,-1
2026-07-22,22,22.3,4933,606.0,0.8698,0.1469,-1,5649,137.0,0.8153,0.7223,0
2026-07-22,23,47.9,5053,602.0,0.6405,0.2361,-2,8125,135.0,0.7534,0.6601,-1
2026-07-23,0,42.1,5785,478.0,0.7252,0.1104,-1,15759,68.0,0.5799,0.4234,-1
