date,hour,range_bps,peak_ms_hl_binance,peak_corr_hl_binance,index_hl_binance,n_hl_binance,peak_ms_okx_binance,peak_corr_okx_binance,index_okx_binance,n_okx_binance
2026-07-18,0,76.7,550.0,1.1333,0.4987,2203,25.0,0.6042,0.1277,4734
2026-07-18,1,49.2,575.0,1.2084,0.3448,1619,25.0,0.6486,0.0877,3462
2026-07-18,4,77.2,550.0,1.151,0.2647,2224,25.0,0.7156,0.0921,3202
2026-07-18,6,112.8,525.0,0.847,0.5886,3949,25.0,0.5004,0.1933,5520
2026-07-18,8,126.9,550.0,0.6789,0.3742,2208,25.0,0.3053,0.1456,5815
2026-07-18,9,41.3,575.0,0.8216,0.3956,2197,25.0,0.4342,0.1455,3552
2026-07-18,11,105.2,425.0,0.9511,0.3375,2485,25.0,0.615,0.0924,3585
2026-07-18,12,121.6,550.0,0.8376,0.3895,2162,25.0,0.49,0.1382,5756
2026-07-18,14,181.2,525.0,0.8376,0.4561,3067,25.0,0.4696,0.1588,8534
2026-07-18,15,61.4,575.0,0.9143,0.4086,1954,25.0,0.5184,0.1896,3826
2026-07-18,17,89.1,550.0,1.0132,0.5331,2685,25.0,0.5526,0.1226,6113
2026-07-18,18,108.8,525.0,0.7229,0.4627,3571,25.0,0.5289,0.209,6217
2026-07-18,20,70.8,475.0,1.0002,0.3126,2493,25.0,0.693,0.0431,3682
2026-07-18,23,65.5,550.0,0.9621,0.3472,1723,25.0,0.6526,0.1513,4162
2026-07-19,0,60.0,650.0,1.1403,0.2088,1774,25.0,0.7335,-0.0081,4192
2026-07-19,2,79.1,525.0,0.773,0.2875,2809,25.0,0.5933,0.1271,6911
2026-07-19,3,47.3,500.0,0.9773,0.2046,2279,25.0,0.5798,0.096,3719
2026-07-19,5,66.9,475.0,1.0178,0.2932,1988,25.0,0.5868,0.1065,3379
2026-07-19,6,54.3,650.0,1.0363,0.2407,2067,0.0,0.6803,0.0996,3122
2026-07-19,8,111.1,525.0,0.6725,0.4754,2894,25.0,0.3078,0.1184,6462
2026-07-19,9,54.3,475.0,0.7769,0.348,2488,25.0,0.5259,0.1103,4112
2026-07-19,11,70.9,550.0,1.0486,0.3189,1710,25.0,0.632,0.1737,2989
2026-07-19,12,83.4,525.0,0.9357,0.3768,2159,25.0,0.5947,0.1458,5883
2026-07-19,14,81.0,600.0,0.9301,0.4657,2240,25.0,0.4916,0.1674,4422
2026-07-19,15,39.9,525.0,1.1717,0.2514,1346,25.0,0.6336,0.0715,3226
2026-07-19,17,154.6,550.0,0.7482,0.4856,2617,25.0,0.4506,0.056,5960
2026-07-19,18,65.3,550.0,0.9141,0.313,2166,25.0,0.6324,-0.0105,4090
2026-07-19,20,88.3,600.0,0.8633,0.2651,2149,25.0,0.5088,0.1938,4113
2026-07-19,21,68.2,525.0,0.7503,0.3825,2033,25.0,0.6364,0.0173,3004
2026-07-19,23,68.0,575.0,1.1618,0.2943,1929,25.0,0.8426,0.1321,3686
2026-07-20,0,214.0,475.0,0.8631,0.4582,3774,25.0,0.5715,0.1224,9551
2026-07-20,2,71.3,600.0,1.1618,0.3547,2631,25.0,0.7754,0.0187,7356
2026-07-20,3,90.9,600.0,1.0217,0.3321,2134,25.0,0.6638,0.0366,7413
2026-07-20,5,87.6,575.0,1.0606,0.3315,2779,0.0,0.7758,0.0805,6143
2026-07-20,7,108.0,500.0,0.9746,0.2646,2397,0.0,0.4931,0.1146,5637
2026-07-20,8,80.3,550.0,1.0561,0.2312,1950,0.0,0.617,0.0476,4585
2026-07-20,10,37.2,525.0,1.0695,0.2053,1839,0.0,0.7026,0.0961,3183
2026-07-20,11,127.2,525.0,0.7672,0.3526,3135,25.0,0.5616,0.1278,6782
2026-07-20,13,148.5,500.0,0.7806,0.4457,4516,25.0,0.5731,0.0218,8767
2026-07-20,14,122.5,550.0,0.9773,0.334,3563,25.0,0.7383,0.111,9790
2026-07-20,16,70.4,525.0,0.7074,0.6243,4585,25.0,0.4495,0.1387,8133
2026-07-20,19,55.4,550.0,1.0888,0.409,2308,25.0,0.7794,0.1467,4309
2026-07-20,20,127.3,550.0,0.7578,0.4619,2920,25.0,0.5755,0.0508,3661
2026-07-20,22,85.0,550.0,0.8537,0.4667,2392,25.0,0.4537,0.174,3476
2026-07-20,23,76.3,525.0,1.0244,0.2311,1781,25.0,0.6824,0.2406,3329
2026-07-21,1,57.5,200.0,1.0457,0.3377,2420,25.0,0.6932,-0.0007,4065
2026-07-21,2,44.5,575.0,1.054,0.192,1829,25.0,0.578,0.0753,3272
2026-07-21,4,64.5,625.0,0.864,0.4662,1980,25.0,0.5148,0.1268,3031
2026-07-21,5,51.6,550.0,0.764,0.3854,2944,25.0,0.4346,0.1642,4117
2026-07-21,7,70.7,550.0,0.6545,0.3598,2922,25.0,0.3448,0.1571,4438
2026-07-21,8,43.7,550.0,0.7675,0.4532,2370,25.0,0.4147,0.2348,3678
2026-07-21,10,103.0,575.0,0.791,0.2549,1937,25.0,0.3758,0.0102,4438
2026-07-21,11,64.8,525.0,0.7459,0.2532,1981,25.0,0.4528,-0.0143,3686
2026-07-21,13,117.6,550.0,0.6722,0.3796,3575,25.0,0.459,0.2085,7100
2026-07-21,14,128.9,550.0,0.9513,0.3866,3203,25.0,0.5966,0.1066,9679
2026-07-21,16,78.5,600.0,0.9774,0.4295,3433,25.0,0.5773,0.2531,5698
2026-07-21,17,285.2,525.0,0.5162,0.515,6597,25.0,0.4693,0.1419,11285
2026-07-21,19,146.4,500.0,0.7679,0.577,5086,25.0,0.5196,0.1246,9001
2026-07-21,22,38.9,500.0,0.9271,0.3736,2542,25.0,0.6754,0.2061,3972
2026-07-21,23,49.2,500.0,0.9453,0.4459,2185,25.0,0.6953,0.2634,2726
2026-07-22,1,67.7,575.0,0.9338,0.4129,2998,25.0,0.6512,0.1289,4409
2026-07-22,6,161.1,800.0,0.5011,0.6384,6190,25.0,0.2963,0.2492,17487
2026-07-22,9,62.9,600.0,0.8061,0.5143,4201,25.0,0.6177,0.1865,4093
2026-07-22,11,128.8,525.0,0.8263,0.4802,3674,25.0,0.5764,0.209,4878
2026-07-22,12,76.9,550.0,0.8843,0.3878,2940,25.0,0.5297,0.0847,5745
2026-07-22,13,141.7,500.0,0.7377,0.3371,4088,25.0,0.4932,0.1002,8226
2026-07-22,14,157.0,575.0,0.8831,0.326,3732,25.0,0.5862,0.1349,9425
2026-07-22,15,135.8,575.0,0.9314,0.3348,4160,25.0,0.6068,0.1292,8599
2026-07-22,16,158.4,575.0,0.6274,0.5587,6700,25.0,0.4835,0.1079,13847
2026-07-22,17,320.9,625.0,0.4113,0.6084,7023,25.0,0.358,0.0137,16799
2026-07-22,18,179.3,525.0,0.8497,0.533,5648,25.0,0.5768,0.0399,12008
2026-07-22,19,140.7,525.0,0.8422,0.4777,4448,25.0,0.5512,0.1146,10167
2026-07-22,20,159.7,575.0,0.9626,0.554,3794,25.0,0.6264,0.0804,8396
2026-07-22,21,83.5,575.0,0.9788,0.3764,2714,25.0,0.5892,0.0675,3915
2026-07-22,22,97.2,575.0,0.9349,0.4233,3276,25.0,0.5659,0.2078,4274
