date,hour,range_bps,peak_ms_hl_binance,peak_corr_hl_binance,index_hl_binance,n_hl_binance,peak_ms_okx_binance,peak_corr_okx_binance,index_okx_binance,n_okx_binance
2026-07-18,0,34.5,600.0,0.2099,0.2219,1339,25.0,0.0597,0.1783,3375
2026-07-18,1,23.8,550.0,0.2844,0.2172,669,25.0,0.0565,0.0418,2639
2026-07-18,4,42.2,1350.0,0.2114,0.2118,622,-425.0,0.0487,-0.2938,2883
2026-07-18,6,22.7,1150.0,0.2292,0.2893,703,0.0,0.0504,-0.16,2521
2026-07-18,8,34.0,1900.0,0.2395,0.233,675,0.0,0.079,-0.1751,3714
2026-07-18,9,43.8,1275.0,0.2484,0.2187,714,0.0,0.0646,-0.332,3226
2026-07-18,11,15.5,575.0,0.2424,0.2022,485,25.0,0.0467,-0.2393,1953
2026-07-18,12,60.9,825.0,0.3161,0.2265,830,0.0,0.1149,-0.2013,4207
2026-07-18,14,46.2,500.0,0.3222,0.1765,782,-50.0,0.0925,0.1989,3405
2026-07-18,15,28.7,600.0,0.3528,0.1336,892,0.0,0.113,0.0425,3021
2026-07-18,17,43.5,525.0,0.3653,0.2144,1121,25.0,0.1384,-0.1315,3710
2026-07-18,18,56.2,525.0,0.3436,0.248,1023,25.0,0.1225,-0.032,4735
2026-07-18,20,32.9,525.0,0.2694,0.1216,820,25.0,0.1006,-0.103,2781
2026-07-18,23,25.2,675.0,0.2983,0.2794,725,-25.0,0.0706,0.1824,1857
2026-07-19,0,30.1,675.0,0.2075,0.3751,1180,-150.0,0.0601,-0.4584,3960
2026-07-19,2,118.4,550.0,0.3121,0.2982,1716,25.0,0.115,-0.0644,8251
2026-07-19,3,79.2,625.0,0.2926,0.227,1077,0.0,0.106,-0.0308,5401
2026-07-19,5,26.8,650.0,0.2967,0.2839,669,0.0,0.0776,0.1853,2786
2026-07-19,6,26.2,625.0,0.3328,0.2035,795,25.0,0.1084,-0.1903,2284
2026-07-19,8,39.5,1000.0,0.3148,0.1588,578,25.0,0.0782,0.1079,3354
2026-07-19,9,50.2,725.0,0.2606,0.2062,690,0.0,0.0838,0.1114,3785
2026-07-19,11,48.3,600.0,0.3556,0.129,556,0.0,0.1217,-0.0211,3183
2026-07-19,12,63.8,500.0,0.3473,0.2938,846,25.0,0.1192,-0.2674,4816
2026-07-19,14,80.8,525.0,0.2873,0.2396,1394,0.0,0.1025,-0.1684,5617
2026-07-19,15,48.3,700.0,0.2924,0.1875,1251,0.0,0.0851,-0.0315,3707
2026-07-19,17,85.9,850.0,0.3917,0.3347,1340,0.0,0.191,-0.0397,4923
2026-07-19,18,81.8,600.0,0.4335,0.2704,1088,0.0,0.1803,-0.0856,4930
2026-07-19,20,35.7,1000.0,0.3945,0.2054,675,0.0,0.107,-0.0304,2882
2026-07-19,21,73.8,625.0,0.3643,0.3008,820,25.0,0.1523,-0.2008,3277
2026-07-19,23,84.8,625.0,0.5193,0.2603,1540,0.0,0.2907,-0.0171,4723
2026-07-20,0,127.4,600.0,0.5114,0.3106,2591,25.0,0.2548,-0.0874,10071
2026-07-20,2,103.1,600.0,0.6589,0.1769,1241,0.0,0.4198,-0.0257,6447
2026-07-20,3,69.3,550.0,0.6636,0.1269,855,25.0,0.3442,-0.0409,4448
2026-07-20,5,90.7,550.0,0.5418,0.1931,1425,25.0,0.2756,-0.0593,7068
2026-07-20,7,92.6,575.0,0.4217,0.08,1017,25.0,0.186,-0.0739,4717
2026-07-20,8,70.5,750.0,0.4629,0.2298,1049,0.0,0.1984,-0.0804,5651
2026-07-20,10,46.1,600.0,0.3608,0.1766,1359,25.0,0.154,-0.1386,3584
2026-07-20,11,119.8,525.0,0.4546,0.2127,2055,0.0,0.2188,-0.0352,9063
2026-07-20,13,130.5,600.0,0.5321,0.2486,1765,0.0,0.2787,-0.0635,8030
2026-07-20,14,86.4,575.0,0.5773,0.257,1731,0.0,0.3356,-0.0659,9496
