date,hour,range_bps,peak_ms_hl_binance,peak_corr_hl_binance,index_hl_binance,n_hl_binance,peak_ms_okx_binance,peak_corr_okx_binance,index_okx_binance,n_okx_binance
2026-07-18,0,18.1,600.0,0.5846,0.445,2632,25.0,0.3507,0.4053,7638
2026-07-18,1,19.7,625.0,0.6715,0.4672,2715,25.0,0.306,0.043,5653
2026-07-18,4,12.7,500.0,0.7085,0.4109,2071,50.0,0.4577,0.2951,4600
2026-07-18,6,9.4,475.0,0.3972,0.4315,1859,0.0,0.1396,0.2994,3981
2026-07-18,8,10.9,800.0,0.4636,0.5307,2939,25.0,0.246,0.1431,4831
2026-07-18,9,10.6,650.0,0.6033,0.4503,2075,0.0,0.2619,-0.2202,3937
2026-07-18,11,15.2,525.0,0.4285,0.4732,1992,-25.0,0.1778,-0.3776,7155
2026-07-18,12,33.6,525.0,0.5116,0.6173,4546,25.0,0.2012,0.2316,13258
2026-07-18,14,15.3,1475.0,0.3788,0.4554,3056,-25.0,0.2582,-0.0553,7492
2026-07-18,15,20.7,500.0,0.3757,0.4886,2838,25.0,0.3138,-0.1358,5979
2026-07-18,17,38.3,575.0,0.5572,0.6194,4859,25.0,0.2684,0.0686,15885
2026-07-18,18,25.4,675.0,0.2825,0.5331,5615,25.0,0.1489,0.2462,11777
2026-07-18,20,37.5,600.0,0.3977,0.5467,3496,25.0,0.2005,0.0295,9239
2026-07-18,23,19.9,575.0,0.7818,0.4902,2609,25.0,0.3067,-0.1322,7099
2026-07-19,0,22.2,475.0,0.5505,0.6374,3470,25.0,0.2598,0.1277,10606
2026-07-19,2,40.3,650.0,0.5895,0.6173,2805,25.0,0.2299,-0.0268,11749
2026-07-19,3,33.0,900.0,0.6027,0.5625,2313,25.0,0.2772,-0.0019,10085
2026-07-19,5,23.6,825.0,0.6285,0.4821,2102,25.0,0.2513,0.322,5571
2026-07-19,6,10.0,800.0,0.5668,0.5843,2096,25.0,0.3696,0.1059,4502
2026-07-19,8,18.5,550.0,0.6878,0.6918,2062,25.0,0.3021,0.1106,6654
2026-07-19,9,35.1,525.0,0.4193,0.4382,2740,25.0,0.2173,0.2769,9840
2026-07-19,11,30.7,525.0,0.5144,0.4668,2483,25.0,0.2751,0.0266,9707
2026-07-19,12,27.6,550.0,0.6675,0.6204,3192,-25.0,0.2,0.2092,15941
2026-07-19,14,35.8,750.0,0.627,0.4998,4444,25.0,0.2734,-0.0546,11230
2026-07-19,15,20.1,850.0,0.5712,0.5325,2773,25.0,0.3173,-0.1326,7496
2026-07-19,17,55.9,550.0,0.6445,0.6446,4335,25.0,0.2739,0.0723,11160
2026-07-19,18,40.3,525.0,0.7452,0.5713,3460,25.0,0.3295,0.0431,10753
2026-07-19,20,12.7,500.0,0.6129,0.4851,2722,-25.0,0.2938,-0.0757,5451
2026-07-19,21,34.1,500.0,0.5531,0.5657,3735,25.0,0.2105,0.0665,5737
2026-07-19,23,33.1,600.0,1.0807,0.4908,3908,25.0,0.4024,0.0337,9694
2026-07-20,0,105.4,600.0,0.6576,0.5088,6043,25.0,0.2789,0.0368,27164
2026-07-20,2,52.6,600.0,0.8238,0.3812,4405,25.0,0.3419,-0.1173,19523
2026-07-20,3,43.2,525.0,0.7857,0.3103,3250,25.0,0.3658,0.0167,12472
2026-07-20,5,72.7,750.0,0.6938,0.5874,5266,25.0,0.2529,-0.1023,31839
2026-07-20,7,64.2,525.0,0.6724,0.5528,4511,25.0,0.2677,0.0116,20472
2026-07-20,8,81.9,300.0,0.5334,0.7142,5287,25.0,0.1949,0.3533,19215
2026-07-20,10,40.0,850.0,0.5937,0.4798,4101,25.0,0.2899,0.1754,10901
2026-07-20,11,126.8,575.0,0.5143,0.6839,6854,25.0,0.1876,0.0924,33017
2026-07-20,13,85.3,600.0,0.7513,0.7009,7015,25.0,0.2729,-0.0023,36280
2026-07-20,14,80.4,525.0,0.8152,0.6087,7868,25.0,0.3589,0.0189,35472
2026-07-20,16,42.4,625.0,0.6105,0.7093,8068,25.0,0.2879,0.2196,26760
2026-07-20,19,34.8,550.0,0.4468,0.7639,8513,25.0,0.1996,0.3011,14547
2026-07-20,20,60.8,150.0,0.5647,0.4748,5312,25.0,0.3066,0.0254,9558
2026-07-20,22,32.3,600.0,0.6427,0.5468,4244,25.0,0.381,0.1237,8283
2026-07-20,23,23.7,850.0,0.5977,0.5038,3658,25.0,0.3504,0.045,7480
2026-07-21,1,65.8,575.0,0.624,0.5656,4894,25.0,0.307,0.0763,14681
2026-07-21,2,50.1,575.0,0.5748,0.4973,4316,25.0,0.3018,-0.0414,12692
2026-07-21,4,40.1,575.0,0.661,0.5093,5245,25.0,0.3037,0.1125,14522
2026-07-21,5,62.4,600.0,0.3519,0.6231,5230,25.0,0.1221,0.0681,15353
2026-07-21,7,56.9,575.0,0.514,0.7354,6701,25.0,0.1867,0.16,26923
2026-07-21,8,34.3,575.0,0.6495,0.6745,7597,25.0,0.2857,0.1227,26212
2026-07-21,10,34.9,575.0,0.8314,0.6344,5609,25.0,0.3235,0.1721,16194
2026-07-21,11,32.6,550.0,0.6734,0.6068,4674,25.0,0.3222,0.1881,12070
2026-07-21,13,71.7,550.0,0.6355,0.7982,9653,25.0,0.2979,0.0295,35800
2026-07-21,14,46.7,550.0,0.5264,0.6432,11716,25.0,0.2012,0.0981,40621
2026-07-21,16,43.8,525.0,0.6141,0.5973,7605,25.0,0.2918,0.1558,15450
2026-07-21,17,65.6,525.0,0.2181,0.6714,8320,50.0,0.0679,0.186,18266
2026-07-21,19,35.1,550.0,0.5634,0.6537,5971,25.0,0.3222,0.336,11738
2026-07-21,22,25.5,575.0,0.5884,0.5146,5285,25.0,0.3013,0.0471,8544
2026-07-21,23,55.1,650.0,0.4903,0.5464,5615,25.0,0.2927,0.0656,10559
2026-07-22,1,55.0,525.0,0.6224,0.5515,6321,25.0,0.2322,0.1068,16487
2026-07-22,6,31.8,550.0,0.5709,0.6694,6786,25.0,0.2586,0.0456,21114
2026-07-22,9,35.9,600.0,0.5136,0.6187,5975,25.0,0.2866,0.209,11305
2026-07-22,11,29.2,550.0,0.643,0.6646,7892,-25.0,0.2391,-0.0466,10362
2026-07-22,12,69.6,525.0,0.392,0.6357,7010,25.0,0.1177,0.111,19037
