date,hour,range_bps,tau_ms,w_mean,w_weighted,w_median,w_renewal,w_half,n_wait
2026-07-18,0,18.1,600.0,1240.4,909.1,788.0,1359.8,683.8,9511
2026-07-18,8,10.9,800.0,1255.1,1015.7,767.0,1324.0,612.2,7037
2026-07-18,15,20.7,500.0,1548.0,1078.1,702.0,1783.9,634.1,8740
2026-07-18,23,19.9,575.0,1322.0,998.7,821.5,1436.9,689.7,10046
2026-07-19,6,10.0,800.0,1660.1,1453.3,1008.0,1752.5,857.9,7952
2026-07-19,14,35.8,750.0,866.2,654.3,514.0,1003.1,404.9,13132
2026-07-19,21,34.1,500.0,874.8,556.7,506.0,1064.2,481.9,8308
2026-07-20,5,72.7,750.0,613.2,463.1,363.0,835.8,341.7,28778
2026-07-20,13,85.3,600.0,441.6,359.0,275.0,611.3,256.6,33192
2026-07-20,20,60.8,150.0,555.5,381.9,399.0,656.0,338.7,13343
2026-07-21,4,40.1,575.0,610.0,519.0,418.0,691.6,343.1,15836
2026-07-21,11,32.6,550.0,660.3,537.9,461.0,701.6,385.0,16839
2026-07-21,19,35.1,550.0,444.1,362.3,354.0,477.3,301.4,13959
2026-07-22,3,29.7,550.0,477.1,413.5,380.0,516.8,332.1,14675
2026-07-22,12,69.6,525.0,365.8,276.1,255.0,442.1,256.7,19265
2026-07-22,17,51.5,550.0,416.5,375.5,325.0,453.7,268.9,16282
2026-07-22,22,22.3,575.0,517.2,445.6,417.0,555.7,364.7,8623
2026-07-23,3,37.9,575.0,472.4,402.6,369.0,526.1,335.2,13530
2026-07-23,9,24.2,575.0,500.3,405.9,391.0,545.3,337.7,13884
2026-07-23,14,59.7,550.0,403.1,350.2,278.0,455.6,229.4,30254
2026-07-23,19,36.9,550.0,667.3,473.7,454.0,801.7,414.2,14321
2026-07-24,0,55.6,525.0,631.3,456.3,409.0,770.2,366.7,16513
2026-07-24,5,23.1,600.0,968.9,694.7,570.0,1108.6,508.2,10109
2026-07-24,10,40.4,950.0,694.1,535.5,447.0,784.9,331.5,13807
2026-07-24,15,74.5,575.0,364.2,311.6,254.0,432.8,211.3,34181
2026-07-24,20,25.7,550.0,814.8,520.4,499.0,927.2,445.9,8601
2026-07-25,1,23.7,500.0,961.7,683.1,611.0,1048.3,534.9,10204
2026-07-25,6,17.3,550.0,970.0,718.5,629.0,1033.1,522.7,10039
2026-07-25,13,23.6,525.0,1403.3,851.7,797.0,1710.7,712.1,11493
2026-07-25,18,30.2,500.0,809.6,629.1,511.0,946.0,466.9,11329
