date,hour,range_bps,tau_ms,w_mean,w_weighted,w_median,w_renewal,w_half,n_wait
2026-07-18,0,26.1,900.0,2486.7,2220.5,1534.0,2797.2,1193.8,10062
2026-07-18,8,38.5,550.0,2510.8,2174.4,1820.0,2671.1,1459.8,8820
2026-07-18,15,23.3,625.0,2714.4,2261.6,1494.0,3110.8,1187.5,7841
2026-07-18,23,23.1,675.0,2674.2,2231.7,1674.0,3048.0,1398.0,8275
2026-07-19,6,16.6,625.0,2450.8,2050.0,1635.5,2673.8,1390.0,7974
2026-07-19,14,53.4,550.0,1868.5,1539.6,1229.0,2156.1,1120.9,14631
2026-07-19,21,55.2,550.0,3888.7,2685.9,1401.0,5908.8,1219.0,8613
2026-07-20,5,96.3,575.0,1144.5,1038.4,542.0,1349.3,501.4,32223
2026-07-20,13,124.4,500.0,1054.3,835.0,509.0,1592.9,516.7,38430
2026-07-20,20,56.4,725.0,1104.7,933.6,671.0,1268.7,639.8,12524
2026-07-21,4,44.6,575.0,1224.2,994.1,742.0,1465.3,752.2,18107
2026-07-21,11,53.8,575.0,1875.2,1521.1,1034.0,2161.5,887.3,20140
2026-07-21,19,41.2,550.0,1768.8,1503.8,1144.0,2022.2,1059.8,13680
2026-07-22,3,48.7,600.0,1162.5,1054.2,635.0,1358.2,661.6,15203
2026-07-22,12,71.6,525.0,1645.9,1339.1,903.5,2140.1,909.3,18662
2026-07-22,17,80.0,550.0,910.4,842.6,541.0,1044.7,493.2,24968
2026-07-22,22,41.8,725.0,2227.1,1705.1,1054.0,2779.8,1223.3,11629
2026-07-23,3,51.9,450.0,1958.0,1662.1,1125.0,2308.6,1025.4,15941
2026-07-23,9,41.0,575.0,1670.9,1402.3,925.0,1969.1,808.2,16541
2026-07-23,14,80.1,575.0,881.5,791.8,526.0,1001.4,411.9,32583
2026-07-23,19,78.2,525.0,1130.0,917.6,604.0,1494.8,671.3,19249
2026-07-24,0,100.6,600.0,1221.5,861.5,621.0,1543.1,648.5,24286
2026-07-24,5,44.3,575.0,2485.8,2027.0,1498.0,2898.8,1248.1,10757
2026-07-24,10,42.9,500.0,1337.9,1171.2,826.0,1453.6,560.2,12322
2026-07-24,15,80.5,525.0,1083.3,922.2,568.0,1331.5,508.9,28316
2026-07-24,20,37.6,600.0,2225.1,1644.4,1201.5,2795.8,1137.6,8510
2026-07-25,1,28.0,475.0,2404.2,1782.4,1282.0,2844.3,1145.2,8365
2026-07-25,6,29.6,650.0,3317.4,2807.5,2205.0,3557.9,1716.8,9021
2026-07-25,13,62.9,550.0,1557.1,1236.1,819.0,1960.3,510.6,16373
2026-07-25,18,21.9,700.0,1542.4,1187.0,913.0,1809.0,853.4,9583
