date,hour,range_bps,tau_ms,w_mean,w_weighted,w_median,w_renewal,w_half,n_wait
2026-07-18,0,76.7,550.0,1135.0,890.8,603.0,1532.6,815.9,6899
2026-07-18,8,126.9,550.0,1389.7,1063.1,616.0,1805.9,814.3,7993
2026-07-18,15,61.4,575.0,1389.1,1187.9,843.0,1679.2,920.6,6970
2026-07-18,23,65.5,550.0,2015.2,1567.9,958.0,2637.1,1043.5,6767
2026-07-19,6,54.3,650.0,1694.8,1424.6,910.0,1955.7,869.2,5391
2026-07-19,14,81.0,600.0,1663.5,1297.1,740.0,2204.5,802.3,7711
2026-07-19,21,68.2,525.0,1334.1,1078.4,850.0,1634.9,885.1,5533
2026-07-20,5,87.6,575.0,1089.6,1012.0,558.0,1474.4,646.8,8920
2026-07-20,13,148.5,500.0,678.2,627.3,457.0,850.5,398.1,13668
2026-07-20,20,127.3,550.0,1035.6,858.6,625.0,1219.3,616.2,9301
2026-07-21,4,64.5,625.0,1735.2,1345.6,888.0,2215.2,907.5,6502
2026-07-21,11,64.8,525.0,1722.8,1468.3,936.0,1987.5,907.7,6303
2026-07-21,19,146.4,500.0,554.3,479.9,398.0,715.0,353.8,13082
2026-07-22,3,128.2,525.0,937.3,746.8,521.0,1272.0,524.0,8900
2026-07-22,12,76.9,550.0,1118.5,947.0,633.0,1320.2,611.9,11216
2026-07-22,17,320.9,625.0,375.2,290.9,203.0,606.8,256.2,22125
2026-07-22,22,97.2,575.0,820.2,672.1,511.0,1062.9,549.2,7605
2026-07-23,3,70.4,500.0,1716.3,1531.0,956.0,1990.4,964.3,7541
2026-07-23,9,49.3,525.0,2038.0,1724.3,1234.0,2327.3,1137.7,9022
2026-07-23,14,184.6,500.0,805.4,697.0,478.0,970.0,413.7,18840
2026-07-23,19,182.2,550.0,1108.7,891.3,545.0,1578.6,562.4,13071
2026-07-24,0,70.7,475.0,844.5,729.9,520.0,1031.7,521.2,11388
2026-07-24,5,35.0,750.0,1662.0,1370.3,924.0,2016.4,986.2,6969
2026-07-24,10,99.7,550.0,1918.3,1644.0,1038.0,2291.7,1000.7,7395
2026-07-24,15,111.1,525.0,965.9,839.6,521.0,1210.2,551.6,15126
2026-07-24,20,64.7,550.0,1322.3,1046.7,751.0,1778.2,876.1,6398
2026-07-25,1,111.8,525.0,1049.8,853.1,515.0,1448.2,624.1,8512
2026-07-25,6,37.2,575.0,2149.8,1974.2,1384.0,2378.0,1255.2,7915
2026-07-25,13,81.2,525.0,1986.0,1666.5,1272.0,2456.0,1259.5,7632
2026-07-25,18,43.4,575.0,1931.4,1541.7,1085.0,2421.4,1161.3,7743
