date,hour,range_bps,tau_ms,w_mean,w_weighted,w_median,w_renewal,w_half,n_wait
2026-07-18,0,34.5,600.0,3386.0,3332.0,2018.0,3417.9,1343.8,6087
2026-07-18,8,34.0,1900.0,5705.0,5544.7,3796.0,6438.3,2657.9,5252
2026-07-18,15,28.7,600.0,4884.5,4866.5,3336.5,5185.6,2016.6,5590
2026-07-18,23,25.2,675.0,4477.4,4529.8,3308.0,4584.3,2482.0,3769
2026-07-19,6,26.2,625.0,5020.4,5132.7,3418.0,5173.2,2258.3,7034
2026-07-19,14,80.8,525.0,3031.8,2856.7,1682.5,3556.4,1286.8,9126
2026-07-19,21,73.8,625.0,4870.8,4571.9,2756.0,5834.1,2191.6,4495
2026-07-20,5,90.7,550.0,2679.0,2478.8,1536.0,3181.1,1261.0,9356
2026-07-20,13,130.5,600.0,2129.6,2025.5,1135.0,2702.3,1018.3,10554
2026-07-20,20,66.2,700.0,2798.6,2739.8,1621.5,2978.5,1159.2,6850
2026-07-21,4,50.1,775.0,2565.4,2528.3,1742.5,2711.6,1323.9,5860
2026-07-21,11,44.1,575.0,3622.2,3475.1,2358.5,3719.5,1724.2,6912
2026-07-21,19,35.5,575.0,4041.7,3866.0,2383.0,4477.2,1802.4,4676
2026-07-22,3,53.0,750.0,3666.6,3676.9,2333.0,4142.2,1762.8,5227
2026-07-22,12,66.9,625.0,3404.8,3323.9,1954.0,3959.7,1615.9,7887
2026-07-22,17,61.1,625.0,2329.1,2262.7,1489.0,2538.1,1169.2,7482
2026-07-22,22,55.4,550.0,3190.6,3052.8,2150.5,3512.0,1638.3,8588
2026-07-23,3,39.9,575.0,6839.5,6771.0,4429.0,7546.4,3347.5,5301
2026-07-23,9,31.8,675.0,4230.0,4047.0,2792.0,4491.9,2062.6,6125
2026-07-23,14,70.7,625.0,2419.3,2340.0,1508.5,2781.8,1174.5,10776
2026-07-23,19,58.3,625.0,2835.7,2664.9,1829.0,3220.6,1473.2,7511
2026-07-24,0,46.8,800.0,3131.0,3055.1,1942.0,3525.0,1493.6,9012
2026-07-24,5,39.0,575.0,11474.7,11380.4,7198.0,11332.0,4529.1,7153
2026-07-24,10,34.8,750.0,4003.5,3958.3,2401.5,4233.5,1501.9,10052
2026-07-24,15,80.5,675.0,1652.4,1559.1,892.0,1765.2,633.9,13866
2026-07-24,20,39.4,875.0,3537.8,3552.3,2375.5,3746.2,1585.9,9404
2026-07-25,1,30.8,600.0,3639.7,3538.5,2196.5,3876.8,1705.4,6980
2026-07-25,6,32.9,750.0,4523.0,4407.7,2686.0,4742.0,1907.7,6471
2026-07-25,13,31.8,525.0,2903.6,2929.9,1788.0,3122.7,1362.7,5974
2026-07-25,18,34.9,575.0,3061.6,3075.0,1864.0,3327.6,1400.6,6248
