date,hour,range_bps,flagged,class_hl,n_hl,maxsil_hl,class_binance,n_binance,maxsil_binance,class_okx,n_okx,maxsil_okx,usable,synthetic_caught,peak_ms_hl_binance,peak_corr_hl_binance,index_hl_binance,nret_hl_binance,peak_ms_okx_binance,peak_corr_okx_binance,index_okx_binance,nret_okx_binance
2026-07-18,0,18.1,0,complete,4586,0,complete,15402,0,complete,13630,0,1,1,600.0,0.5846,0.445,2632,25.0,0.3507,0.4053,7638
2026-07-18,1,19.7,0,complete,4741,0,complete,12378,0,complete,11066,0,1,1,625.0,0.6715,0.4672,2715,25.0,0.306,0.043,5653
2026-07-18,2,16.9,1,complete,4178,0,complete,12928,0,complete,11638,0,1,1,525.0,0.8229,0.5431,2335,-25.0,0.3017,0.05,5946
2026-07-18,3,13.8,1,complete,3557,0,complete,11789,0,complete,9823,0,1,1,975.0,0.7201,0.592,2294,25.0,0.3364,0.2339,5429
2026-07-18,4,12.7,0,complete,3691,0,complete,9721,0,complete,7309,0,1,1,500.0,0.7085,0.4109,2071,50.0,0.4577,0.2951,4600
2026-07-18,5,11.3,1,complete,4182,0,complete,10147,0,complete,8541,0,1,1,825.0,0.5206,0.4384,2588,0.0,0.3014,0.1962,4810
2026-07-18,6,9.4,0,complete,2805,0,complete,7257,0,complete,5869,0,1,1,475.0,0.3972,0.4315,1859,0.0,0.1396,0.2994,3981
2026-07-18,7,8.0,1,incomplete,3196,210342,complete,9059,0,complete,6914,0,0,,,,,,,,,
2026-07-18,8,10.9,0,complete,5418,0,complete,10123,0,complete,7642,0,1,1,800.0,0.4636,0.5307,2939,25.0,0.246,0.1431,4831
2026-07-18,9,10.6,0,complete,3080,0,complete,7745,0,complete,5767,0,1,1,650.0,0.6033,0.4503,2075,0.0,0.2619,-0.2202,3937
2026-07-18,10,4.2,1,complete,2173,0,complete,6396,0,complete,5337,0,1,1,1225.0,0.2798,0.3351,1603,0.0,0.3073,-0.2145,4382
2026-07-18,11,15.2,0,complete,3732,0,complete,7733,0,complete,9088,0,1,1,525.0,0.4285,0.4732,1992,-25.0,0.1778,-0.3776,7155
2026-07-18,12,33.6,0,complete,10211,0,complete,25193,0,complete,32231,0,1,1,525.0,0.5116,0.6173,4546,25.0,0.2012,0.2316,13258
2026-07-18,13,39.6,1,complete,5573,0,complete,25365,0,complete,24551,0,1,1,575.0,0.479,0.3179,2530,25.0,0.2583,0.0715,12716
2026-07-18,14,15.3,0,complete,6282,0,complete,16894,0,complete,14090,0,1,1,1475.0,0.3788,0.4554,3056,-25.0,0.2582,-0.0553,7492
2026-07-18,15,20.7,0,complete,4985,0,complete,14385,0,complete,11212,0,1,1,500.0,0.3757,0.4886,2838,25.0,0.3138,-0.1358,5979
2026-07-18,16,35.9,1,complete,6651,0,complete,21037,0,complete,17451,0,1,1,450.0,0.4689,1.0,3105,25.0,0.171,0.5006,7402
2026-07-18,17,38.3,0,complete,11840,0,complete,33401,0,complete,32682,0,1,1,575.0,0.5572,0.6194,4859,25.0,0.2684,0.0686,15885
2026-07-18,18,25.4,0,complete,14007,0,complete,33084,0,complete,28917,0,1,1,675.0,0.2825,0.5331,5615,25.0,0.1489,0.2462,11777
2026-07-18,19,18.9,1,complete,8935,0,complete,16191,0,complete,14611,0,1,1,575.0,0.5637,0.484,3281,50.0,0.2953,0.2789,8171
2026-07-18,20,37.5,0,complete,10138,0,complete,25150,0,complete,22830,0,1,1,600.0,0.3977,0.5467,3496,25.0,0.2005,0.0295,9239
2026-07-18,21,36.8,1,complete,10896,0,complete,26999,0,complete,26442,0,1,1,550.0,0.4694,0.5985,3251,25.0,0.2329,0.0994,10015
2026-07-18,22,26.3,1,complete,6501,0,complete,20766,0,complete,18630,0,1,1,550.0,0.8518,0.5576,2317,25.0,0.2981,-0.0152,8052
2026-07-18,23,19.9,0,complete,5946,0,complete,16859,0,complete,14286,0,1,1,575.0,0.7818,0.4902,2609,25.0,0.3067,-0.1322,7099
2026-07-19,0,22.2,0,complete,8611,0,complete,16928,0,complete,17285,0,1,1,475.0,0.5505,0.6374,3470,25.0,0.2598,0.1277,10606
2026-07-19,1,4.9,1,complete,3536,0,complete,12204,0,complete,9931,0,1,1,1150.0,0.1518,0.7616,2207,25.0,0.192,-0.1574,6782
2026-07-19,2,40.3,0,complete,8438,0,complete,27532,0,complete,26616,0,1,1,650.0,0.5895,0.6173,2805,25.0,0.2299,-0.0268,11749
2026-07-19,3,33.0,0,complete,4518,0,complete,18794,0,complete,17875,0,1,1,900.0,0.6027,0.5625,2313,25.0,0.2772,-0.0019,10085
2026-07-19,4,28.8,1,complete,5203,0,complete,14617,0,complete,12868,0,1,1,850.0,0.6744,0.4761,2328,25.0,0.2884,0.0458,7470
