k,xmin,estimable,R_cutoff_vs_lognormal,p_cutoff_vs_lognormal,R_cutoff_vs_weibull,p_cutoff_vs_weibull,R_lognormal,p_lognormal,R_weibull,p_weibull,LR_cutoff,p_cutoff,R_exponential,p_exponential,R_ln_vs_wb,p_ln_vs_wb,ln_mu,ln_sigma,wb_beta,wb_lambda
200,4422852.01,1,-0.6614,0.5083,-0.9582,0.3379,-2.2798,0.0226,-2.2873,0.0222,14.9454,0.0001,0.1436,0.8858,0.3584,0.72,15.1588,0.986,0.507617,2.782e-01
277,3454268.47,1,1.0608,0.2888,0.7413,0.4585,-1.7846,0.0743,-1.8221,0.0684,11.2408,0.0008,1.5128,0.1303,-1.3786,0.168,13.8078,1.3641,0.336949,3.217e-02
383,2512987.2,1,0.8673,0.3858,0.5613,0.5746,-2.3529,0.0186,-2.3883,0.0169,16.9007,0.0,2.0339,0.042,-1.3673,0.1715,13.6187,1.4145,0.327451,3.587e-02
530,1883987.38,1,1.5539,0.1202,1.295,0.1953,-2.2872,0.0222,-2.3342,0.0196,16.9693,0.0,3.3203,0.0009,-1.8626,0.0625,12.4407,1.6916,0.252185,4.365e-03
733,1351903.54,1,1.189,0.2344,0.9369,0.3488,-2.8402,0.0045,-2.9052,0.0037,23.6898,0.0,4.2433,0.0,-1.8035,0.0713,12.1806,1.7501,0.242082,3.885e-03
1015,926615.7,1,0.2536,0.7998,0.0152,0.9879,-3.8652,0.0001,-3.9639,0.0001,39.0212,0.0,5.0221,0.0,-1.001,0.3168,12.3197,1.7149,0.256251,1.030e-02
1404,663404.09,1,1.7211,0.0852,1.3851,0.166,-3.4575,0.0005,-3.5606,0.0004,37.7824,0.0,7.0574,0.0,-2.7431,0.0061,10.6252,2.1027,0.191686,4.114e-04
1943,471257.65,1,2.5798,0.0099,2.2538,0.0242,-3.3265,0.0009,-3.4168,0.0006,38.5552,0.0,9.0986,0.0,-3.2404,0.0012,8.7925,2.4657,0.149126,7.486e-06
2688,327724.22,1,2.3719,0.0177,2.0821,0.0373,-3.7114,0.0002,-3.8066,0.0001,45.8908,0.0,10.9577,0.0,-3.3302,0.0009,7.8452,2.6382,0.133462,9.666e-07
3720,223240.24,1,1.5623,0.1182,1.3125,0.1893,-4.4293,0.0,-4.5434,0.0,59.7049,0.0,12.7952,0.0,-2.9619,0.0031,7.495,2.6993,0.129263,6.617e-07
5147,150882.08,1,1.4055,0.1599,1.1375,0.2553,-4.8898,0.0,-5.0135,0.0,73.144,0.0,14.9559,0.0,-3.1769,0.0015,6.5052,2.8779,0.117952,9.702e-08
7123,99536.05,1,1.2491,0.2116,0.9231,0.356,-5.5235,0.0,-5.6597,0.0,93.942,0.0,17.2927,0.0,-3.6712,0.0002,5.6389,3.0373,0.110429,2.446e-08
9856,81252.57,0,16.1915,0.0,12.4122,0.0,6.3885,0.0,9.8702,0.0,14.1254,0.0002,22.6321,0.0,10.7224,0.0,-30.0,6.6209,0.103287,1.000e-09
13638,56733.65,0,10.1831,0.0,9.9415,0.0,2.2551,0.0241,7.2451,0.0,23.0039,0.0,24.0655,0.0,8.4689,0.0,-30.0,6.6871,0.102463,1.000e-09
18871,38321.99,0,4.5356,0.0,6.0557,0.0,-2.6819,0.0073,3.1038,0.0019,44.3308,0.0,25.5448,0.0,5.3518,0.0,-17.8059,5.7485,0.101127,1.000e-09
26113,24683.75,0,-4.1226,0.0,-2.0858,0.037,-7.5184,0.0,-5.0994,0.0,110.5587,0.0,26.8496,0.0,3.596,0.0003,1.25,3.575,0.098984,1.000e-09
36134,14131.33,1,-16.2151,0.0,-16.6965,0.0,-18.3464,0.0,-18.5121,0.0,439.3913,0.0,27.3366,0.0,13.4122,0.0,7.3557,2.4304,0.150389,7.399e-05
50000,7456.57,1,-21.7758,0.0,-22.6238,0.0,-27.3892,0.0,-27.3173,0.0,1115.4693,0.0,29.5965,0.0,15.9269,0.0,7.8361,2.3107,0.182755,3.301e-03
