date,hour,range_bps,flagged,class_hl,n_hl,maxsil_hl,class_binance,n_binance,maxsil_binance,class_okx,n_okx,maxsil_okx,usable,synthetic_caught,peak_ms_hl_binance,peak_corr_hl_binance,index_hl_binance,nret_hl_binance,peak_ms_okx_binance,peak_corr_okx_binance,index_okx_binance,nret_okx_binance
2026-07-18,0,26.1,0,complete,2252,0,complete,14098,0,complete,17464,0,1,1,900.0,0.8326,0.1999,1507,25.0,0.3667,-0.0187,10138
2026-07-18,1,20.6,0,complete,1747,0,complete,11928,0,complete,13939,0,1,1,950.0,0.9151,0.1086,1045,25.0,0.3756,-0.169,8403
2026-07-18,2,27.7,0,complete,3764,0,complete,13556,0,complete,17088,0,1,1,400.0,0.9264,0.2572,1061,25.0,0.3004,-0.0127,9618
2026-07-18,3,26.6,0,complete,1319,0,complete,10491,0,complete,13421,0,1,1,675.0,0.9564,0.1364,836,25.0,0.3665,-0.0685,7282
2026-07-18,4,18.4,0,complete,1231,0,complete,9176,0,complete,11842,0,1,1,550.0,0.7929,0.0777,773,25.0,0.4048,-0.0871,6686
2026-07-18,5,33.1,0,complete,2138,0,complete,13960,0,complete,17501,0,1,1,525.0,1.0343,0.2861,973,25.0,0.3864,-0.0436,9465
2026-07-18,6,26.0,0,complete,1653,0,complete,10485,0,complete,11660,0,1,1,1400.0,1.0553,0.2363,813,25.0,0.4686,-0.2233,6548
2026-07-18,7,15.7,0,incomplete,1460,212330,complete,8865,0,complete,10104,0,0,,,,,,,,,
2026-07-18,8,38.5,0,complete,6151,0,complete,12236,0,complete,12992,0,1,1,550.0,0.813,0.272,1232,25.0,0.3507,0.0033,7732
2026-07-18,9,28.7,0,complete,2001,0,complete,9588,0,complete,10551,0,1,1,575.0,0.63,0.0956,994,25.0,0.3253,0.1598,6345
2026-07-18,10,16.3,0,complete,1763,0,complete,7272,0,complete,8182,0,1,1,500.0,0.4028,0.2905,910,25.0,0.2913,0.0011,5309
2026-07-18,11,11.9,0,complete,1336,0,complete,6415,0,complete,7416,0,1,1,625.0,0.5051,0.4209,968,25.0,0.3692,-0.0685,4897
2026-07-18,12,55.3,0,complete,3256,0,complete,20344,0,complete,26723,0,1,1,450.0,0.9064,0.2908,1501,25.0,0.3209,-0.0077,14750
2026-07-18,13,41.7,0,complete,3793,0,complete,17834,0,complete,23058,0,1,1,525.0,0.8973,0.1908,1559,25.0,0.3614,0.0697,12916
2026-07-18,14,32.0,0,complete,2688,0,complete,14470,0,complete,16036,0,1,1,550.0,0.5576,0.2596,1626,25.0,0.3494,-0.1407,8811
2026-07-18,15,23.3,0,complete,2334,0,complete,10992,0,complete,13227,0,1,1,625.0,0.7583,0.211,1511,25.0,0.4276,-0.0482,7220
2026-07-18,16,29.3,0,complete,1816,0,complete,13646,0,complete,14951,0,1,1,650.0,1.0002,0.3148,1010,25.0,0.4214,0.0282,7695
2026-07-18,17,53.1,0,complete,4050,0,complete,21226,0,complete,27420,0,1,1,475.0,0.7835,0.2169,1835,25.0,0.2736,-0.0596,12921
2026-07-18,18,91.2,0,complete,10570,0,complete,37333,0,complete,51020,0,1,1,400.0,0.3748,0.5735,3729,275.0,0.1238,0.3296,20739
2026-07-18,19,28.5,0,complete,6908,0,complete,16411,0,complete,18996,0,1,1,475.0,0.7368,0.2625,1985,25.0,0.3755,-0.0049,8922
2026-07-18,20,40.9,0,complete,2388,0,complete,15043,0,complete,18061,0,1,1,525.0,0.7443,0.3581,1453,25.0,0.382,-0.0723,8384
2026-07-18,21,37.7,0,complete,2443,0,complete,19304,0,complete,20746,0,1,1,550.0,1.0005,0.1853,1464,25.0,0.346,-0.145,10236
2026-07-18,22,30.6,0,complete,3282,0,complete,16777,0,complete,19053,0,1,1,775.0,0.8189,0.3398,1832,25.0,0.4053,-0.0064,8996
2026-07-18,23,23.1,0,complete,1983,0,complete,11417,0,complete,12688,0,1,1,675.0,0.9683,0.2166,1287,-25.0,0.3677,0.0152,6919
2026-07-19,0,22.5,0,complete,2279,0,complete,12266,0,complete,14426,0,1,1,550.0,0.9169,0.21,1464,25.0,0.3984,-0.1616,8246
2026-07-19,1,16.1,0,complete,2045,0,complete,11880,0,complete,11567,0,1,1,575.0,0.9348,0.2657,1395,25.0,0.3455,0.1618,6779
2026-07-19,2,102.7,0,complete,5430,0,complete,38580,0,complete,54708,0,1,1,550.0,0.7056,0.3394,2230,25.0,0.202,0.0407,26523
2026-07-19,3,50.2,0,complete,2858,0,complete,18698,0,complete,24747,0,1,1,825.0,0.8106,0.1308,1564,25.0,0.3808,0.0587,14287
2026-07-19,4,31.6,0,complete,3510,0,complete,12859,0,complete,16738,0,1,1,550.0,0.9211,0.2429,2013,25.0,0.4277,-0.1837,9340
2026-07-19,5,24.6,0,complete,1653,0,complete,11752,0,complete,14681,0,1,1,625.0,0.8777,0.1434,1114,25.0,0.3791,0.0421,8852
2026-07-19,6,16.6,0,complete,1818,0,complete,11261,0,complete,14200,0,1,1,625.0,0.8984,0.1671,1294,25.0,0.4104,0.1789,7282
2026-07-19,7,26.7,0,complete,3127,0,complete,11060,0,complete,12906,0,1,1,575.0,0.7754,0.3169,2047,25.0,0.4056,0.0292,7184
2026-07-19,8,40.6,0,complete,2323,0,complete,13357,0,complete,18227,0,1,1,700.0,0.9245,0.2259,1382,25.0,0.363,-0.0765,10498
2026-07-19,9,45.9,0,complete,2156,0,complete,15714,0,complete,21585,0,1,1,1125.0,0.9617,0.2003,1198,25.0,0.3508,-0.112,12768
2026-07-19,10,79.8,0,complete,3797,0,complete,23055,0,complete,29655,0,1,1,575.0,0.846,0.2233,1415,-25.0,0.1425,0.0615,14847
2026-07-19,11,45.4,0,complete,2732,0,complete,23560,0,complete,29746,0,1,1,475.0,0.888,0.1652,1476,25.0,0.3498,-0.0472,16635
2026-07-19,12,55.0,0,complete,3388,0,complete,28996,0,complete,37185,0,1,1,525.0,0.852,0.3075,1475,25.0,0.2284,0.0632,19376
2026-07-19,13,41.2,0,complete,2316,0,complete,19016,0,complete,23128,0,1,1,925.0,1.0938,0.1901,1283,25.0,0.4207,0.1178,12315
2026-07-19,14,53.4,0,complete,3147,0,complete,25816,0,complete,31171,0,1,1,550.0,0.9792,0.2565,1601,25.0,0.3533,-0.037,16161
2026-07-19,15,35.2,0,complete,2727,0,complete,17391,0,complete,20858,0,1,1,575.0,0.9818,0.3401,1250,25.0,0.3511,0.0748,11153
2026-07-19,16,42.8,0,complete,3812,0,complete,17872,0,complete,24560,0,1,1,475.0,0.888,0.3325,1762,25.0,0.3924,-0.0134,12540
2026-07-19,17,83.5,0,complete,6815,0,complete,35089,0,complete,47433,0,1,1,475.0,0.4121,0.4562,3124,0.0,0.0995,-0.028,20451
2026-07-19,18,76.6,0,complete,5295,0,complete,42859,0,complete,50730,0,1,1,550.0,0.868,0.3213,2125,25.0,0.2569,0.0217,22477
2026-07-19,19,43.0,0,complete,3161,0,complete,14642,0,complete,16496,0,1,1,500.0,1.0789,0.1977,1005,25.0,0.4583,0.1419,8128
2026-07-19,20,26.8,0,complete,2601,0,complete,13743,0,complete,17064,0,1,1,600.0,1.0606,0.1899,1288,25.0,0.4071,-0.1639,7835
2026-07-19,21,55.2,0,complete,3287,0,complete,15939,0,complete,17472,0,1,1,550.0,1.0516,0.1744,1474,25.0,0.4398,0.0987,8491
2026-07-19,22,107.4,0,complete,6348,0,complete,56080,0,complete,69789,0,1,1,575.0,1.1744,0.3156,2324,25.0,0.4692,-0.1124,27474
2026-07-19,23,52.4,0,complete,3511,0,complete,31418,0,complete,40820,0,1,1,675.0,1.3669,0.2338,1674,25.0,0.5325,-0.1442,16088
2026-07-20,0,157.6,0,complete,10512,0,complete,89841,0,complete,113488,0,1,1,575.0,0.8769,0.4534,3338,25.0,0.3208,-0.054,50724
2026-07-20,1,129.3,0,complete,7396,0,complete,75262,0,complete,95294,0,1,1,575.0,1.0366,0.3552,2803,25.0,0.4546,-0.1323,42239
2026-07-20,2,81.9,0,complete,5418,0,complete,59767,0,complete,69981,0,1,1,650.0,1.0912,0.2482,1875,25.0,0.4497,-0.1572,32469
2026-07-20,3,60.1,0,complete,3411,0,complete,35786,0,complete,41957,0,1,1,550.0,1.2504,0.2,1330,25.0,0.4512,-0.094,19388
2026-07-20,4,62.8,0,complete,3201,0,complete,33749,0,complete,37657,0,1,1,775.0,1.097,0.251,1340,25.0,0.4233,0.0061,17825
2026-07-20,5,96.3,0,complete,10649,0,complete,76552,0,complete,90039,0,1,1,575.0,0.83,0.4103,3584,25.0,0.3524,-0.0036,41133
