date,hour,range_bps,flagged,class_hl,n_hl,maxsil_hl,class_binance,n_binance,maxsil_binance,class_okx,n_okx,maxsil_okx,usable,synthetic_caught,peak_ms_hl_binance,peak_corr_hl_binance,index_hl_binance,nret_hl_binance,peak_ms_okx_binance,peak_corr_okx_binance,index_okx_binance,nret_okx_binance
2026-07-18,0,76.7,0,complete,4808,0,complete,10422,0,complete,7844,0,1,1,550.0,1.1333,0.4987,2203,25.0,0.6042,0.1277,4734
2026-07-18,1,49.2,0,complete,3088,0,complete,7721,0,complete,5725,0,1,1,575.0,1.2084,0.3448,1619,25.0,0.6486,0.0877,3462
2026-07-18,2,84.9,0,complete,3872,0,complete,8728,0,complete,6551,0,1,1,550.0,1.2133,0.2316,1472,25.0,0.6828,-0.0144,3669
2026-07-18,3,64.9,0,complete,3907,0,complete,9150,0,complete,5538,0,1,1,500.0,1.1353,0.2297,1584,25.0,0.6426,0.1838,3014
2026-07-18,4,77.2,0,complete,5723,0,complete,9008,0,complete,5657,0,1,1,550.0,1.151,0.2647,2224,25.0,0.7156,0.0921,3202
2026-07-18,5,121.0,0,complete,10514,0,complete,12233,0,complete,13098,0,1,1,550.0,0.6342,0.4403,3465,25.0,0.4132,0.1774,6356
2026-07-18,6,112.8,0,complete,10512,0,complete,14158,0,complete,10482,0,1,1,525.0,0.847,0.5886,3949,25.0,0.5004,0.1933,5520
2026-07-18,7,106.3,0,incomplete,6392,212671,complete,10770,0,complete,7022,0,0,,,,,,,,,
2026-07-18,8,126.9,0,complete,5501,0,complete,14104,0,complete,11219,0,1,1,550.0,0.6789,0.3742,2208,25.0,0.3053,0.1456,5815
2026-07-18,9,41.3,0,complete,3602,0,complete,10181,0,complete,6428,0,1,1,575.0,0.8216,0.3956,2197,25.0,0.4342,0.1455,3552
2026-07-18,10,65.7,0,complete,3177,0,complete,11023,0,complete,4437,0,1,1,675.0,0.9795,0.3214,1838,25.0,0.6184,0.1085,2490
2026-07-18,11,105.2,0,complete,6002,0,complete,10415,0,complete,6391,0,1,1,425.0,0.9511,0.3375,2485,25.0,0.615,0.0924,3585
2026-07-18,12,121.6,0,complete,6967,0,complete,14849,0,complete,10839,0,1,1,550.0,0.8376,0.3895,2162,25.0,0.49,0.1382,5756
2026-07-18,13,107.6,0,complete,8293,0,complete,17672,0,complete,13817,0,1,1,300.0,0.7222,0.2541,2699,25.0,0.3007,0.1545,6687
2026-07-18,14,181.2,0,complete,9569,0,complete,17061,0,complete,17759,0,1,1,525.0,0.8376,0.4561,3067,25.0,0.4696,0.1588,8534
2026-07-18,15,61.4,0,complete,4475,0,complete,11077,0,complete,6842,0,1,1,575.0,0.9143,0.4086,1954,25.0,0.5184,0.1896,3826
2026-07-18,16,79.1,0,complete,4858,0,complete,10965,0,complete,7524,0,1,1,525.0,0.9448,0.472,2089,25.0,0.5297,0.013,4437
2026-07-18,17,89.1,0,complete,8128,0,complete,15042,0,complete,11255,0,1,1,550.0,1.0132,0.5331,2685,25.0,0.5526,0.1226,6113
