date,hour,range_bps,flagged,class_hl,n_hl,maxsil_hl,class_binance,n_binance,maxsil_binance,class_okx,n_okx,maxsil_okx,usable,synthetic_caught,peak_ms_hl_binance,peak_corr_hl_binance,index_hl_binance,nret_hl_binance,peak_ms_okx_binance,peak_corr_okx_binance,index_okx_binance,nret_okx_binance
2026-07-18,0,34.5,0,complete,2066,0,complete,6114,0,complete,3657,0,1,1,600.0,0.2099,0.2219,1339,25.0,0.0597,0.1783,3375
2026-07-18,1,23.8,0,complete,868,0,complete,4492,0,complete,2832,0,1,1,550.0,0.2844,0.2172,669,25.0,0.0565,0.0418,2639
2026-07-18,2,39.5,0,complete,1301,0,complete,6519,0,complete,3622,0,1,1,1300.0,0.2313,0.0707,653,25.0,0.0592,-0.1459,3244
2026-07-18,3,29.4,0,complete,970,0,complete,4817,0,complete,2449,0,1,1,650.0,0.2362,0.1477,557,0.0,0.0808,-0.3815,2148
2026-07-18,4,42.2,0,complete,954,0,complete,5535,0,complete,2988,0,1,1,1350.0,0.2114,0.2118,622,-425.0,0.0487,-0.2938,2883
2026-07-18,5,32.0,0,complete,984,0,complete,5774,0,complete,3212,0,1,1,1575.0,0.2919,0.1603,574,25.0,0.0806,-0.0873,2994
2026-07-18,6,22.7,0,complete,1077,0,complete,4805,0,complete,2655,0,1,1,1150.0,0.2292,0.2893,703,0.0,0.0504,-0.16,2521
2026-07-18,7,18.1,0,incomplete,872,216099,complete,4564,0,complete,2776,0,0,,,,,,,,,
2026-07-18,8,34.0,0,complete,1179,0,complete,5313,0,complete,3953,0,1,1,1900.0,0.2395,0.233,675,0.0,0.079,-0.1751,3714
2026-07-18,9,43.8,0,complete,1142,0,complete,5474,0,complete,3585,0,1,1,1275.0,0.2484,0.2187,714,0.0,0.0646,-0.332,3226
2026-07-18,10,20.5,0,complete,797,0,complete,4407,0,complete,2515,0,1,1,575.0,0.1887,0.2059,547,225.0,0.0601,0.5953,2382
2026-07-18,11,15.5,0,complete,769,0,complete,4003,0,complete,2094,0,1,1,575.0,0.2424,0.2022,485,25.0,0.0467,-0.2393,1953
2026-07-18,12,60.9,0,complete,1630,0,complete,6375,0,complete,4903,0,1,1,825.0,0.3161,0.2265,830,0.0,0.1149,-0.2013,4207
2026-07-18,13,64.6,0,complete,1431,0,complete,6253,0,complete,4044,0,1,1,550.0,0.3548,0.1829,705,25.0,0.0911,0.0471,3604
2026-07-18,14,46.2,0,complete,1245,0,complete,6985,0,complete,3931,0,1,1,500.0,0.3222,0.1765,782,-50.0,0.0925,0.1989,3405
2026-07-18,15,28.7,0,complete,1327,0,complete,5624,0,complete,3285,0,1,1,600.0,0.3528,0.1336,892,0.0,0.113,0.0425,3021
2026-07-18,16,60.2,0,complete,1727,0,complete,6449,0,complete,3998,0,1,1,650.0,0.3672,0.2455,860,0.0,0.1239,-0.0587,3263
2026-07-18,17,43.5,0,complete,1986,0,complete,6455,0,complete,4662,0,1,1,525.0,0.3653,0.2144,1121,25.0,0.1384,-0.1315,3710
2026-07-18,18,56.2,0,complete,1752,0,complete,7378,0,complete,5782,0,1,1,525.0,0.3436,0.248,1023,25.0,0.1225,-0.032,4735
2026-07-18,19,28.7,0,complete,1124,0,complete,4890,0,complete,2904,0,1,1,950.0,0.3799,0.1326,743,25.0,0.1653,-0.1729,2537
2026-07-18,20,32.9,0,complete,1341,0,complete,6277,0,complete,3054,0,1,1,525.0,0.2694,0.1216,820,25.0,0.1006,-0.103,2781
2026-07-18,21,35.9,0,complete,1090,0,complete,5256,0,complete,2765,0,1,1,1225.0,0.3083,0.1625,677,25.0,0.1109,-0.0859,2607
2026-07-18,22,29.8,0,complete,1938,0,complete,4218,0,complete,2606,0,1,1,675.0,0.367,0.2652,988,-25.0,0.1382,-0.0372,2368
2026-07-18,23,25.2,0,complete,1485,0,complete,3784,0,complete,1934,0,1,1,675.0,0.2983,0.2794,725,-25.0,0.0706,0.1824,1857
2026-07-19,0,30.1,0,complete,2198,0,complete,6415,0,complete,4247,0,1,1,675.0,0.2075,0.3751,1180,-150.0,0.0601,-0.4584,3960
2026-07-19,1,24.9,0,complete,1704,0,complete,8013,0,complete,3165,0,1,1,725.0,0.2028,0.301,1026,25.0,0.0519,-0.0476,2840
2026-07-19,2,118.4,0,complete,3988,0,complete,13031,0,complete,10996,0,1,1,550.0,0.3121,0.2982,1716,25.0,0.115,-0.0644,8251
2026-07-19,3,79.2,0,complete,1913,0,complete,7197,0,complete,6011,0,1,1,625.0,0.2926,0.227,1077,0.0,0.106,-0.0308,5401
2026-07-19,4,42.0,0,complete,1423,0,complete,6551,0,complete,3643,0,1,1,675.0,0.2961,0.2873,857,0.0,0.0821,0.012,3286
2026-07-19,5,26.8,0,complete,1018,0,complete,6199,0,complete,3012,0,1,1,650.0,0.2967,0.2839,669,0.0,0.0776,0.1853,2786
2026-07-19,6,26.2,0,complete,1119,0,complete,7070,0,complete,2421,0,1,1,625.0,0.3328,0.2035,795,25.0,0.1084,-0.1903,2284
2026-07-19,7,42.1,0,complete,1480,0,complete,5493,0,complete,3425,0,1,1,825.0,0.3009,0.2765,948,-25.0,0.0692,-0.0982,3056
2026-07-19,8,39.5,0,incomplete,876,71273,complete,5616,0,complete,3605,0,0,,,,,,,,,
2026-07-19,9,50.2,0,incomplete,1185,61388,complete,6975,0,complete,3996,0,0,,,,,,,,,
2026-07-19,10,76.7,0,complete,1424,0,complete,8169,0,complete,3991,0,1,1,825.0,0.2974,0.2612,833,0.0,0.093,-0.2409,3501
2026-07-19,11,48.3,0,complete,872,0,complete,5777,0,complete,3528,0,1,1,600.0,0.3556,0.129,556,0.0,0.1217,-0.0211,3183
2026-07-19,12,63.8,0,complete,2271,0,complete,7367,0,complete,5381,0,1,1,500.0,0.3473,0.2938,846,25.0,0.1192,-0.2674,4816
2026-07-19,13,33.4,0,complete,1180,0,complete,5179,0,complete,3598,0,1,1,575.0,0.3229,0.1318,717,25.0,0.1272,-0.1028,3019
2026-07-19,14,80.8,0,complete,2413,0,complete,9451,0,complete,7011,0,1,1,525.0,0.2873,0.2396,1394,0.0,0.1025,-0.1684,5617
2026-07-19,15,48.3,0,complete,2003,0,complete,8429,0,complete,4072,0,1,1,700.0,0.2924,0.1875,1251,0.0,0.0851,-0.0315,3707
2026-07-19,16,55.5,0,complete,2007,0,complete,8444,0,complete,5678,0,1,1,675.0,0.27,0.2233,1148,0.0,0.1127,-0.186,4661
2026-07-19,17,85.9,0,complete,2645,0,complete,7055,0,complete,5698,0,1,1,850.0,0.3917,0.3347,1340,0.0,0.191,-0.0397,4923
2026-07-19,18,81.8,0,complete,2086,0,complete,7289,0,complete,5713,0,1,1,600.0,0.4335,0.2704,1088,0.0,0.1803,-0.0856,4930
2026-07-19,19,34.2,0,incomplete,898,63700,complete,4217,0,complete,2220,0,0,,,,,,,,,
2026-07-19,20,35.7,0,incomplete,1252,61605,complete,4531,0,complete,3243,0,0,,,,,,,,,
2026-07-19,21,73.8,0,complete,1826,0,complete,4581,0,complete,3717,0,1,1,625.0,0.3643,0.3008,820,25.0,0.1523,-0.2008,3277
2026-07-19,22,101.8,0,complete,2919,0,complete,6922,0,complete,6857,0,1,1,625.0,0.6151,0.25,1587,0.0,0.424,-0.1062,5771
2026-07-19,23,84.8,0,complete,3413,0,complete,6320,0,complete,5891,0,1,1,625.0,0.5193,0.2603,1540,0.0,0.2907,-0.0171,4723
2026-07-20,0,127.4,0,complete,6256,0,complete,12701,0,complete,12003,0,1,1,600.0,0.5114,0.3106,2591,25.0,0.2548,-0.0874,10071
2026-07-20,1,143.0,0,complete,5226,0,complete,11550,0,complete,10239,0,1,1,525.0,0.5821,0.218,1965,25.0,0.3431,-0.1064,9016
2026-07-20,2,103.1,0,complete,2665,0,complete,8043,0,complete,7346,0,1,1,600.0,0.6589,0.1769,1241,0.0,0.4198,-0.0257,6447
2026-07-20,3,69.3,0,complete,1617,0,complete,6276,0,complete,4884,0,1,1,550.0,0.6636,0.1269,855,25.0,0.3442,-0.0409,4448
2026-07-20,4,82.5,0,complete,2000,0,complete,6490,0,complete,5197,0,1,1,550.0,0.5374,0.1468,994,25.0,0.242,-0.1276,4605
2026-07-20,5,90.7,0,complete,2889,0,complete,9660,0,complete,7887,0,1,1,550.0,0.5418,0.1931,1425,25.0,0.2756,-0.0593,7068
2026-07-20,6,63.6,0,complete,2003,0,complete,8455,0,complete,7816,0,1,1,525.0,0.5771,0.1527,992,0.0,0.2722,0.0002,6831
2026-07-20,7,92.6,0,complete,1642,0,complete,7565,0,complete,5117,0,1,1,575.0,0.4217,0.08,1017,25.0,0.186,-0.0739,4717
2026-07-20,8,70.5,0,complete,2041,0,complete,7243,0,complete,6279,0,1,1,750.0,0.4629,0.2298,1049,0.0,0.1984,-0.0804,5651
2026-07-20,9,86.6,0,complete,2098,0,complete,7054,0,complete,6148,0,1,1,650.0,0.3759,0.1907,1316,0.0,0.146,-0.0892,5534
2026-07-20,10,46.1,0,complete,2382,0,complete,5571,0,complete,3807,0,1,1,600.0,0.3608,0.1766,1359,25.0,0.154,-0.1386,3584
2026-07-20,11,119.8,0,complete,3747,0,complete,10431,0,complete,10348,0,1,1,525.0,0.4546,0.2127,2055,0.0,0.2188,-0.0352,9063
2026-07-20,12,62.0,0,complete,2194,0,complete,8813,0,complete,5874,0,1,1,675.0,0.442,0.2008,1386,0.0,0.2113,-0.0037,5281
2026-07-20,13,130.5,0,complete,3384,0,complete,10817,0,complete,9080,0,1,1,600.0,0.5321,0.2486,1765,0.0,0.2787,-0.0635,8030
2026-07-20,14,86.4,0,complete,3272,0,complete,11305,0,complete,10470,0,1,1,575.0,0.5773,0.257,1731,0.0,0.3356,-0.0659,9496
2026-07-20,15,239.7,0,complete,5300,0,complete,16420,0,complete,15234,0,1,1,525.0,0.4571,0.2244,2466,25.0,0.2264,-0.0661,12000
2026-07-20,16,54.8,0,complete,3549,0,complete,11009,0,complete,7337,0,1,1,600.0,0.4053,0.2751,1879,0.0,0.2188,-0.0725,6572
2026-07-20,17,67.5,0,complete,2405,0,complete,7196,0,complete,5066,0,1,1,575.0,0.4676,0.2018,1217,0.0,0.1985,-0.0089,4593
2026-07-20,18,101.1,0,complete,5522,0,complete,11156,0,complete,7578,0,1,1,600.0,0.4117,0.2803,1544,0.0,0.203,-0.0264,6096
2026-07-20,19,53.7,0,complete,2374,0,complete,10228,0,complete,6509,0,1,1,550.0,0.4761,0.1924,1324,0.0,0.2396,-0.043,5822
2026-07-20,20,66.2,0,complete,2223,0,complete,6906,0,complete,4062,0,1,1,700.0,0.4154,0.2574,1552,25.0,0.2123,-0.0354,3559
2026-07-20,21,38.5,0,complete,2773,0,complete,5755,0,complete,2714,0,1,1,600.0,0.3235,0.3303,1784,25.0,0.1794,0.0997,2438
2026-07-20,22,53.4,0,complete,2389,0,complete,4928,0,complete,3691,0,1,1,1175.0,0.426,0.304,1369,0.0,0.1999,0.1065,3347
2026-07-20,23,58.5,0,complete,1882,0,complete,4395,0,complete,3196,0,1,1,675.0,0.3976,0.2142,1179,0.0,0.1733,-0.0037,2951
2026-07-21,0,67.7,0,complete,3331,0,complete,7070,0,complete,6286,0,1,1,750.0,0.4691,0.2368,1883,0.0,0.2373,-0.0414,5861
2026-07-21,1,49.2,0,complete,3175,0,complete,6060,0,complete,4162,0,1,1,650.0,0.3955,0.2848,2078,0.0,0.1703,-0.0876,3799
2026-07-21,2,73.0,0,complete,2122,0,complete,6158,0,complete,4186,0,1,1,650.0,0.3726,0.1153,1405,-50.0,0.1449,-0.1124,3807
2026-07-21,3,65.8,0,complete,3069,0,complete,7143,0,complete,5560,0,1,1,575.0,0.3787,0.1932,1780,50.0,0.164,0.0626,4771
2026-07-21,4,50.1,0,complete,1841,0,complete,5931,0,complete,4114,0,1,1,775.0,0.4245,0.239,1357,0.0,0.1835,0.0595,3741
2026-07-21,5,73.9,0,complete,2410,0,complete,6737,0,complete,5342,0,1,1,600.0,0.4066,0.2053,1472,25.0,0.1827,0.0048,4542
2026-07-21,6,73.8,0,complete,2995,0,complete,8783,0,complete,6536,0,1,1,625.0,0.3665,0.2661,1699,25.0,0.1458,-0.1022,5521
2026-07-21,7,33.2,0,complete,1741,0,complete,6966,0,complete,4498,0,1,1,625.0,0.41,0.2263,1283,25.0,0.147,0.0214,3952
2026-07-21,8,51.6,0,complete,2576,0,complete,7387,0,complete,5971,0,1,1,600.0,0.3356,0.2633,1724,25.0,0.1649,-0.0726,5464
2026-07-21,9,41.9,0,complete,2149,0,complete,6656,0,complete,4600,0,1,1,625.0,0.2398,0.2762,1399,25.0,0.0873,-0.0795,4169
2026-07-21,10,51.4,0,complete,1956,0,complete,6563,0,complete,4717,0,1,1,875.0,0.3026,0.2725,1131,-25.0,0.0954,-0.1723,4244
2026-07-21,11,44.1,0,complete,1697,0,complete,6951,0,complete,4824,0,1,1,575.0,0.2563,0.1672,1043,0.0,0.0773,0.0111,4545
2026-07-21,12,35.5,0,complete,1948,0,complete,9461,0,complete,4748,0,1,1,625.0,0.3535,0.2554,1098,25.0,0.1423,-0.1086,4234
2026-07-21,13,56.4,0,complete,2404,0,complete,9001,0,complete,6326,0,1,1,700.0,0.4612,0.2196,1373,0.0,0.2265,-0.0061,5807
2026-07-21,14,90.8,0,complete,3628,0,complete,10053,0,complete,7131,0,1,1,600.0,0.42,0.1889,1521,25.0,0.1831,-0.0335,6290
2026-07-21,15,42.3,0,complete,2351,0,complete,8102,0,complete,5538,0,1,1,600.0,0.3799,0.2316,1485,25.0,0.1621,0.0227,5137
2026-07-21,16,35.7,0,complete,2599,0,complete,6585,0,complete,4223,0,1,1,800.0,0.3745,0.3056,1454,0.0,0.1654,0.0267,3882
2026-07-21,17,102.3,0,complete,3041,0,complete,7448,0,complete,5725,0,1,1,950.0,0.3265,0.3089,1541,25.0,0.1305,-0.0549,4914
2026-07-21,18,48.9,0,complete,2453,0,complete,5724,0,complete,3240,0,1,1,575.0,0.3607,0.2333,1334,0.0,0.1749,-0.0426,3049
2026-07-21,19,35.5,0,complete,2113,0,complete,4717,0,complete,3186,0,1,1,575.0,0.3994,0.2108,997,0.0,0.1889,0.0743,2949
2026-07-21,20,38.9,0,complete,1504,0,complete,5235,0,complete,3070,0,1,1,1350.0,0.3452,0.4021,1017,25.0,0.1487,-0.0589,2875
2026-07-21,21,44.4,0,complete,1667,0,complete,4405,0,complete,3211,0,1,1,1050.0,0.3566,0.2203,974,0.0,0.152,-0.139,2999
2026-07-21,22,26.3,0,complete,1189,0,complete,3629,0,complete,3021,0,1,1,1125.0,0.4875,0.1723,812,0.0,0.2511,-0.1768,2848
2026-07-21,23,52.2,0,complete,1452,0,complete,4182,0,complete,3591,0,1,1,650.0,0.3502,0.216,786,0.0,0.1267,-0.0152,3328
2026-07-22,0,59.5,0,complete,2831,0,complete,7254,0,complete,6904,0,1,1,550.0,0.3917,0.1962,1351,0.0,0.1292,-0.041,6189
2026-07-22,1,47.4,0,complete,2233,0,complete,5427,0,complete,4051,0,1,1,700.0,0.4739,0.1625,919,0.0,0.2097,0.0175,3731
