date,hour,n_hl,n_bn,real,A0,A100,A300,A575,A1000,thinned
2026-07-18,0,4586,15402,600.0,0.0,100.0,300.0,575.0,1000.0,825.0
2026-07-18,8,5418,10123,800.0,0.0,150.0,300.0,575.0,1000.0,1875.0
2026-07-18,16,6651,21037,450.0,-25.0,75.0,300.0,575.0,1000.0,1500.0
2026-07-19,0,8611,16928,475.0,-50.0,75.0,300.0,575.0,1000.0,600.0
2026-07-19,8,4007,15320,550.0,0.0,100.0,300.0,575.0,1000.0,1075.0
2026-07-19,16,6495,18496,600.0,0.0,125.0,300.0,575.0,1000.0,600.0
2026-07-20,0,18311,79553,600.0,0.0,100.0,300.0,575.0,1000.0,625.0
2026-07-20,8,13450,47734,300.0,0.0,100.0,300.0,575.0,950.0,475.0
2026-07-20,16,19209,73522,625.0,0.0,100.0,300.0,575.0,1000.0,700.0
2026-07-21,0,11251,47054,675.0,0.0,100.0,300.0,575.0,1000.0,600.0
2026-07-21,8,19247,59371,575.0,0.0,100.0,300.0,575.0,1000.0,625.0
2026-07-21,16,14168,39961,525.0,0.0,100.0,300.0,575.0,1000.0,600.0
2026-07-22,0,13135,41146,525.0,0.0,100.0,300.0,575.0,1000.0,625.0
2026-07-22,8,13911,35770,525.0,0.0,100.0,300.0,550.0,1000.0,575.0
2026-07-22,16,19321,62704,575.0,0.0,100.0,300.0,575.0,1000.0,550.0
2026-07-23,0,13013,37264,525.0,0.0,100.0,300.0,575.0,1000.0,550.0
2026-07-23,8,13734,27293,600.0,0.0,100.0,300.0,575.0,1000.0,525.0
2026-07-23,16,13968,37983,550.0,0.0,100.0,300.0,575.0,1000.0,600.0
2026-07-24,0,12751,38363,525.0,0.0,100.0,300.0,575.0,1000.0,600.0
2026-07-24,8,9779,22709,1000.0,0.0,100.0,300.0,575.0,1000.0,675.0
2026-07-24,16,12250,41726,600.0,0.0,100.0,300.0,575.0,1000.0,550.0
2026-07-25,0,5293,14591,875.0,-150.0,50.0,250.0,575.0,1000.0,850.0
2026-07-25,8,9442,20941,525.0,0.0,125.0,300.0,575.0,1000.0,725.0
2026-07-25,16,4159,13507,475.0,25.0,100.0,300.0,575.0,1025.0,550.0
