date,hour,n_hl,n_bn,real,A0,A100,A300,A575,A1000,thinned
2026-07-18,0,2252,14098,900.0,25.0,100.0,300.0,575.0,1000.0,750.0
2026-07-18,9,2001,9588,575.0,0.0,100.0,250.0,600.0,1000.0,975.0
2026-07-18,18,10570,37333,400.0,0.0,100.0,150.0,575.0,1000.0,525.0
2026-07-19,3,2858,18698,825.0,0.0,100.0,275.0,575.0,1025.0,1325.0
2026-07-19,12,3388,28996,525.0,0.0,100.0,300.0,575.0,1000.0,675.0
2026-07-19,21,3287,15939,550.0,25.0,100.0,275.0,575.0,1000.0,850.0
2026-07-20,6,10856,64122,550.0,0.0,100.0,300.0,575.0,1000.0,650.0
2026-07-20,15,13244,117675,550.0,0.0,100.0,300.0,575.0,1000.0,525.0
2026-07-21,0,6190,45986,575.0,0.0,100.0,300.0,575.0,1000.0,550.0
2026-07-21,9,4241,23877,575.0,0.0,125.0,300.0,575.0,1000.0,1075.0
2026-07-21,18,5104,30393,575.0,0.0,100.0,300.0,575.0,1000.0,975.0
2026-07-22,3,8189,27290,600.0,0.0,100.0,300.0,575.0,1000.0,575.0
2026-07-22,12,3741,33896,525.0,0.0,100.0,300.0,575.0,1000.0,1125.0
2026-07-22,21,5127,21074,450.0,-25.0,75.0,300.0,575.0,1000.0,750.0
2026-07-23,6,2655,15925,575.0,0.0,100.0,275.0,575.0,1000.0,1200.0
2026-07-23,15,12473,72715,550.0,0.0,100.0,300.0,575.0,1000.0,550.0
2026-07-24,0,8466,52840,600.0,0.0,100.0,300.0,575.0,1000.0,575.0
2026-07-24,9,5556,31816,500.0,0.0,100.0,300.0,575.0,1000.0,525.0
2026-07-24,18,2568,18141,675.0,-25.0,100.0,300.0,575.0,1000.0,1700.0
2026-07-25,3,2287,10852,475.0,25.0,100.0,300.0,575.0,1000.0,1075.0
