date,hour,n_hl,n_bn,real,A0,A100,A300,A575,A1000,thinned
2026-07-18,0,4808,10422,550.0,0.0,100.0,300.0,575.0,1000.0,700.0
2026-07-18,9,3602,10181,575.0,0.0,200.0,250.0,575.0,1000.0,525.0
2026-07-18,18,10884,17352,525.0,0.0,100.0,300.0,575.0,1000.0,600.0
2026-07-19,3,4578,9132,500.0,0.0,100.0,300.0,575.0,1000.0,400.0
2026-07-19,12,6596,14485,525.0,0.0,100.0,300.0,575.0,1000.0,500.0
2026-07-19,21,4287,7473,525.0,0.0,100.0,300.0,575.0,1000.0,525.0
2026-07-20,6,4904,12334,600.0,0.0,100.0,300.0,575.0,1000.0,575.0
2026-07-20,15,17572,28537,275.0,0.0,100.0,300.0,575.0,1000.0,550.0
2026-07-21,0,7073,12597,550.0,0.0,100.0,300.0,575.0,1000.0,550.0
2026-07-21,9,5731,9174,525.0,0.0,100.0,250.0,575.0,1000.0,875.0
2026-07-21,18,8522,13853,525.0,0.0,100.0,300.0,575.0,1000.0,550.0
2026-07-22,3,10874,14087,525.0,0.0,100.0,300.0,575.0,1000.0,850.0
2026-07-22,12,8716,18570,550.0,0.0,100.0,300.0,575.0,1000.0,500.0
2026-07-22,21,6803,10161,575.0,0.0,100.0,300.0,575.0,1000.0,500.0
2026-07-23,6,6254,13619,500.0,0.0,100.0,275.0,575.0,1000.0,550.0
2026-07-23,15,8332,22997,600.0,0.0,100.0,300.0,575.0,1000.0,750.0
2026-07-24,0,9638,17990,475.0,0.0,100.0,300.0,575.0,1000.0,550.0
2026-07-24,9,4970,16112,250.0,0.0,75.0,275.0,575.0,1000.0,375.0
2026-07-24,18,8063,15500,550.0,0.0,100.0,300.0,575.0,1000.0,525.0
2026-07-25,3,3732,10242,650.0,0.0,100.0,300.0,575.0,1000.0,675.0
