date,hour,n_hl,n_bn,real,A0,A100,A300,A575,A1000,thinned
2026-07-18,0,2066,6114,600.0,50.0,175.0,300.0,575.0,1000.0,900.0
2026-07-18,9,1142,5474,1275.0,50.0,125.0,300.0,575.0,1075.0,1775.0
2026-07-18,18,1752,7378,525.0,0.0,100.0,325.0,575.0,975.0,775.0
2026-07-19,3,1913,7197,625.0,25.0,100.0,325.0,575.0,1025.0,625.0
2026-07-19,12,2271,7367,500.0,75.0,200.0,325.0,575.0,1000.0,475.0
2026-07-19,21,1826,4581,625.0,75.0,150.0,300.0,575.0,1025.0,675.0
2026-07-20,6,2003,8455,525.0,0.0,100.0,300.0,575.0,1150.0,575.0
2026-07-20,15,5300,16420,525.0,0.0,100.0,300.0,575.0,1000.0,525.0
2026-07-21,0,3331,7070,750.0,50.0,125.0,325.0,575.0,1000.0,700.0
2026-07-21,9,2149,6656,625.0,25.0,175.0,325.0,575.0,1025.0,1550.0
2026-07-21,18,2453,5724,575.0,25.0,225.0,425.0,575.0,1100.0,550.0
2026-07-22,3,1741,5321,750.0,25.0,175.0,300.0,575.0,1100.0,1575.0
2026-07-22,12,2036,8030,625.0,25.0,100.0,325.0,575.0,1025.0,1600.0
2026-07-22,21,2092,8949,1375.0,0.0,225.0,325.0,575.0,1075.0,1025.0
2026-07-23,6,777,5683,925.0,50.0,125.0,375.0,600.0,1000.0,1500.0
2026-07-23,15,4433,14170,575.0,25.0,100.0,300.0,575.0,1000.0,475.0
2026-07-24,0,2210,9123,800.0,25.0,100.0,300.0,575.0,1000.0,1500.0
2026-07-24,9,2720,12193,800.0,0.0,100.0,300.0,575.0,1050.0,525.0
2026-07-24,18,1324,7385,975.0,25.0,125.0,300.0,625.0,1050.0,1325.0
2026-07-25,3,1018,5256,1300.0,0.0,175.0,350.0,575.0,1100.0,1325.0
