date,hour,n_hl,n_bn,rho,kappa,real,m_k0_L200,m_k0_L400,m_k0_L575,m_k0_L800,m_k0.25_L200,m_k0.25_L400,m_k0.25_L575,m_k0.25_L800,m_k1_L200,m_k1_L400,m_k1_L575,m_k1_L800,m_k4_L200,m_k4_L400,m_k4_L575,m_k4_L800,d_0.5,d_1,d_2,d_4,d_8,d_full
2026-07-18,0,4586,15402,0.3896277462955096,5.587190861477131,600.0,175.0,375.0,575.0,800.0,175.0,400.0,575.0,800.0,175.0,375.0,575.0,800.0,75.0,400.0,575.0,800.0,550.0,575.0,575.0,575.0,575.0,575.0
2026-07-18,8,5418,10123,0.2928301622473798,10.661875046083606,800.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,175.0,375.0,575.0,800.0,0.0,400.0,650.0,775.0,575.0,575.0,575.0,575.0,575.0,575.0
2026-07-18,16,6651,21037,0.7613742997648765,0.7250574927320976,450.0,75.0,400.0,575.0,825.0,75.0,400.0,600.0,800.0,225.0,575.0,575.0,800.0,75.0,600.0,-1500.0,800.0,575.0,575.0,575.0,575.0,575.0,575.0
2026-07-19,0,8611,16928,0.50278228783571,2.955852230837194,475.0,200.0,375.0,575.0,800.0,200.0,375.0,575.0,800.0,225.0,375.0,575.0,800.0,200.0,375.0,575.0,800.0,575.0,575.0,575.0,575.0,575.0,575.0
2026-07-19,8,4007,15320,0.39289956905715795,5.47793961067496,550.0,200.0,400.0,575.0,775.0,200.0,400.0,575.0,775.0,175.0,400.0,575.0,775.0,225.0,400.0,575.0,775.0,575.0,525.0,575.0,575.0,575.0,575.0
2026-07-19,16,6495,18496,0.461568588178951,3.693831650471063,600.0,200.0,400.0,575.0,800.0,175.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,225.0,400.0,575.0,800.0,550.0,550.0,575.0,575.0,575.0,575.0
2026-07-20,0,18311,79553,0.5809454491770706,1.9629839020888402,600.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,825.0,225.0,400.0,600.0,800.0,575.0,575.0,575.0,575.0,575.0,575.0
2026-07-20,8,13450,47734,0.5102430599549103,2.8410130898972525,300.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,175.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,575.0,575.0,575.0,575.0,575.0,575.0
2026-07-20,16,19209,73522,0.6965766350007562,1.060925031024158,625.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,575.0,575.0,575.0,575.0,575.0,575.0
2026-07-21,0,11251,47054,0.5535880907038664,2.263070994263816,675.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,575.0,575.0,575.0,575.0,575.0,575.0
2026-07-21,8,19247,59371,0.571865971647129,2.0578169940061275,575.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,575.0,575.0,575.0,575.0,575.0,575.0
2026-07-21,16,14168,39961,0.5905236399344249,1.867645244714313,525.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,575.0,575.0,575.0,575.0,575.0,575.0
2026-07-22,0,13135,41146,0.5564738690261783,2.229315291133682,525.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,575.0,575.0,575.0,575.0,575.0,575.0
2026-07-22,8,13911,35770,0.5763437452971055,2.0104875202856354,525.0,200.0,400.0,550.0,800.0,200.0,400.0,550.0,800.0,200.0,400.0,550.0,800.0,200.0,400.0,550.0,800.0,575.0,575.0,575.0,575.0,575.0,575.0
2026-07-22,16,19321,62704,0.5684827998497667,2.094320836558196,575.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,575.0,575.0,575.0,575.0,575.0,575.0
2026-07-23,0,13013,37264,0.5081534480437797,2.8726678167411763,525.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,200.0,400.0,600.0,800.0,175.0,400.0,575.0,800.0,550.0,550.0,575.0,575.0,575.0,575.0
2026-07-23,8,13734,27293,0.5473557172584249,2.3378028603600502,600.0,200.0,375.0,575.0,800.0,200.0,375.0,575.0,800.0,200.0,375.0,575.0,800.0,200.0,400.0,575.0,800.0,575.0,575.0,575.0,575.0,575.0,575.0
2026-07-23,16,13968,37983,0.514218854195877,2.781847457292685,550.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,575.0,575.0,575.0,575.0,575.0,575.0
2026-07-24,0,12751,38363,0.6241182908855961,1.5672382743873015,525.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,575.0,575.0,575.0,575.0,575.0,575.0
2026-07-24,8,9779,22709,0.34758487521155834,7.277101089862203,1000.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,575.0,575.0,575.0,575.0,575.0,575.0
2026-07-24,16,12250,41726,0.5172260742970768,2.737998986984795,600.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,575.0,575.0,575.0,575.0,575.0,575.0
2026-07-25,0,5293,14591,0.5575958849960919,2.216332061126927,875.0,125.0,250.0,575.0,775.0,125.0,250.0,575.0,825.0,250.0,250.0,575.0,825.0,175.0,375.0,550.0,700.0,575.0,575.0,575.0,575.0,575.0,575.0
2026-07-25,8,9442,20941,0.5202285089012123,2.6949766959856696,525.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,825.0,225.0,350.0,575.0,825.0,75.0,375.0,525.0,850.0,575.0,575.0,575.0,575.0,575.0,575.0
2026-07-25,16,4159,13507,0.24433244226111006,15.75088387351328,475.0,200.0,375.0,575.0,825.0,200.0,375.0,575.0,800.0,200.0,375.0,575.0,800.0,350.0,300.0,575.0,775.0,625.0,575.0,575.0,575.0,575.0,575.0
