date,hour,n_hl,n_bn,rho,kappa,real,m_k0_L200,m_k0_L400,m_k0_L575,m_k0_L800,m_k0.25_L200,m_k0.25_L400,m_k0.25_L575,m_k0.25_L800,m_k1_L200,m_k1_L400,m_k1_L575,m_k1_L800,m_k4_L200,m_k4_L400,m_k4_L575,m_k4_L800,d_0.5,d_1,d_2,d_4,d_8,d_full
2026-07-18,0,2252,14098,0.27676719564366575,12.054816553324658,900.0,200.0,375.0,575.0,800.0,225.0,375.0,575.0,800.0,200.0,375.0,575.0,800.0,200.0,375.0,575.0,800.0,700.0,575.0,550.0,575.0,575.0,575.0
2026-07-18,8,6151,12236,0.3613009802315937,6.660581199846486,550.0,300.0,400.0,575.0,800.0,300.0,400.0,575.0,800.0,275.0,400.0,575.0,800.0,250.0,350.0,575.0,800.0,575.0,575.0,575.0,575.0,575.0,575.0
2026-07-18,16,1816,13646,0.6524359788773934,1.3492227353336907,650.0,100.0,400.0,575.0,750.0,100.0,400.0,575.0,750.0,100.0,400.0,575.0,775.0,100.0,375.0,575.0,750.0,600.0,575.0,575.0,575.0,575.0,575.0
2026-07-19,0,2279,12266,0.2728063719250814,12.436649240893312,550.0,200.0,400.0,550.0,800.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,200.0,400.0,550.0,800.0,550.0,550.0,550.0,550.0,550.0,550.0
2026-07-19,8,2323,13357,0.3390631017431984,7.698391262246697,700.0,200.0,375.0,575.0,800.0,200.0,375.0,575.0,800.0,200.0,375.0,575.0,800.0,100.0,400.0,575.0,775.0,525.0,575.0,575.0,575.0,575.0,575.0
2026-07-19,16,3812,17872,0.3737893582360561,6.157249126997161,475.0,175.0,400.0,575.0,800.0,175.0,400.0,575.0,800.0,175.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,575.0,550.0,575.0,575.0,575.0,575.0
2026-07-20,0,10512,89841,0.5716990473072404,2.0596028937807924,575.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,775.0,575.0,575.0,575.0,575.0,575.0,575.0
2026-07-20,8,6388,39406,0.5089246108564226,2.860940363660207,575.0,200.0,375.0,575.0,800.0,200.0,375.0,575.0,800.0,200.0,375.0,575.0,800.0,200.0,375.0,575.0,800.0,575.0,575.0,575.0,575.0,575.0,575.0
2026-07-20,16,8377,65173,0.5709846431817569,2.0672639066123337,425.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,775.0,200.0,400.0,575.0,775.0,575.0,575.0,575.0,575.0,575.0,575.0
2026-07-21,0,6190,45986,0.44811390701386583,3.9799290518323787,575.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,200.0,375.0,575.0,800.0,200.0,400.0,575.0,850.0,575.0,575.0,575.0,575.0,575.0,575.0
2026-07-21,8,8981,60364,0.7075597622476366,0.9974400123602482,575.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,825.0,200.0,400.0,575.0,800.0,200.0,375.0,600.0,800.0,575.0,575.0,575.0,575.0,575.0,575.0
2026-07-21,16,8139,35603,0.3864610836552721,5.6955840379843865,650.0,200.0,400.0,575.0,800.0,175.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,225.0,400.0,575.0,800.0,575.0,575.0,575.0,575.0,575.0,575.0
2026-07-22,0,7212,48698,0.5263676666341788,2.609288454316027,625.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,125.0,400.0,575.0,800.0,200.0,300.0,575.0,800.0,575.0,575.0,575.0,575.0,575.0,575.0
2026-07-22,8,3818,27333,0.38833004236998864,5.6312899809877415,575.0,175.0,400.0,575.0,800.0,175.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,200.0,425.0,525.0,825.0,550.0,550.0,575.0,575.0,575.0,575.0
2026-07-22,16,10457,68707,0.4949761076334894,3.081610210402456,475.0,200.0,400.0,575.0,775.0,200.0,400.0,575.0,775.0,200.0,400.0,550.0,750.0,200.0,400.0,575.0,825.0,575.0,500.0,575.0,575.0,575.0,575.0
2026-07-23,0,4946,29441,0.42584060882832153,4.514496327621937,550.0,175.0,400.0,575.0,800.0,175.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,575.0,575.0,575.0,575.0,575.0,575.0
2026-07-23,8,4548,24181,0.33037935378750377,8.161660647493182,550.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,175.0,400.0,425.0,825.0,575.0,575.0,575.0,575.0,575.0,575.0
2026-07-23,16,6392,38982,0.5363158446867133,2.4766321700355536,525.0,225.0,400.0,575.0,825.0,200.0,400.0,575.0,825.0,300.0,400.0,575.0,825.0,175.0,375.0,575.0,825.0,550.0,575.0,575.0,575.0,575.0,575.0
2026-07-24,0,8466,52840,0.5764970496770769,2.0088866116314406,600.0,200.0,400.0,575.0,800.0,225.0,-150.0,550.0,900.0,200.0,300.0,550.0,875.0,1000.0,1200.0,1300.0,-825.0,1375.0,600.0,1375.0,1375.0,575.0,575.0
2026-07-24,8,4547,22712,0.36553918348802517,6.483971503479661,525.0,175.0,400.0,575.0,775.0,175.0,400.0,575.0,775.0,150.0,400.0,575.0,775.0,225.0,450.0,575.0,800.0,575.0,575.0,575.0,575.0,575.0,575.0
2026-07-24,16,6587,29906,0.3284375583706833,8.270312411673816,525.0,175.0,400.0,575.0,825.0,200.0,400.0,575.0,825.0,200.0,400.0,575.0,825.0,200.0,475.0,575.0,850.0,575.0,575.0,575.0,575.0,575.0,575.0
2026-07-25,0,3531,14020,0.47608535005184766,3.4119477913218517,600.0,200.0,375.0,575.0,825.0,200.0,400.0,575.0,825.0,200.0,400.0,575.0,825.0,200.0,400.0,575.0,800.0,575.0,575.0,550.0,575.0,575.0,575.0
2026-07-25,8,4019,15022,0.3356700506720473,7.875131809918226,550.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,200.0,400.0,600.0,825.0,200.0,450.0,575.0,1000.0,600.0,575.0,575.0,575.0,575.0,575.0
2026-07-25,16,3071,15249,0.3863712255366287,5.69869877587421,575.0,200.0,375.0,575.0,825.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,825.0,200.0,400.0,550.0,800.0,575.0,575.0,575.0,575.0,575.0,575.0
