date,hour,n_hl,n_bn,rho,kappa,real,m_k0_L200,m_k0_L400,m_k0_L575,m_k0_L800,m_k0.25_L200,m_k0.25_L400,m_k0.25_L575,m_k0.25_L800,m_k1_L200,m_k1_L400,m_k1_L575,m_k1_L800,m_k4_L200,m_k4_L400,m_k4_L575,m_k4_L800,d_0.5,d_1,d_2,d_4,d_8,d_full
2026-07-18,0,4808,10422,0.48547789737680624,3.2428831889534675,550.0,150.0,400.0,575.0,800.0,150.0,400.0,575.0,800.0,150.0,400.0,575.0,800.0,150.0,400.0,575.0,800.0,575.0,525.0,575.0,575.0,575.0,575.0
2026-07-18,8,5501,14104,0.5863108851191811,1.9090024414883042,550.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,825.0,575.0,575.0,575.0,575.0,575.0,575.0
2026-07-18,16,4858,10965,0.5431845924597261,2.3892617847675783,525.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,225.0,400.0,575.0,800.0,175.0,400.0,575.0,775.0,600.0,575.0,575.0,575.0,575.0,575.0
2026-07-19,0,3993,7623,0.456456057760988,3.799566902440514,650.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,225.0,375.0,575.0,800.0,575.0,575.0,575.0,575.0,575.0,575.0
2026-07-19,8,8510,16042,0.5810223525978351,1.9621996000156203,525.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,225.0,400.0,575.0,800.0,225.0,400.0,575.0,800.0,575.0,575.0,575.0,575.0,575.0,575.0
2026-07-19,16,4014,8502,0.41323094076341516,4.8561789078638125,650.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,400.0,400.0,575.0,800.0,525.0,550.0,575.0,575.0,575.0,575.0
2026-07-20,0,14165,23812,0.2086605874625621,21.967786818038025,475.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,175.0,400.0,575.0,800.0,150.0,375.0,1750.0,800.0,575.0,575.0,575.0,575.0,575.0,575.0
2026-07-20,8,4431,11274,0.431399778177919,4.373288573795168,550.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,225.0,275.0,575.0,800.0,575.0,575.0,575.0,575.0,575.0,575.0
2026-07-20,16,13411,23695,0.6127108905229367,1.6637214050716194,525.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,575.0,575.0,575.0,575.0,575.0,575.0
2026-07-21,0,7073,12597,0.4872644884430166,3.21182654303997,550.0,200.0,400.0,575.0,800.0,225.0,400.0,575.0,800.0,225.0,400.0,575.0,800.0,200.0,400.0,550.0,800.0,575.0,575.0,575.0,575.0,575.0,575.0
2026-07-21,8,5580,11906,0.4001801008084964,5.2443756485828645,550.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,150.0,400.0,525.0,550.0,600.0,575.0,575.0,575.0,575.0,575.0
2026-07-21,16,8771,13639,0.4131506854506873,4.858454276799996,600.0,225.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,225.0,400.0,600.0,800.0,175.0,400.0,575.0,800.0,575.0,575.0,575.0,575.0,575.0,575.0
2026-07-22,0,7115,13228,0.45098857200560916,3.916645839468147,575.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,425.0,350.0,575.0,775.0,575.0,575.0,600.0,600.0,600.0,600.0
2026-07-22,8,8119,15838,0.358418952069745,6.784273179271543,525.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,175.0,350.0,575.0,825.0,575.0,575.0,575.0,575.0,575.0,575.0
2026-07-22,16,25498,41540,0.5449691907949343,2.36710065109287,575.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,825.0,575.0,575.0,575.0,575.0,575.0,575.0
2026-07-23,0,6009,13097,0.4543042181008626,3.8451414639799117,575.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,600.0,575.0,575.0,575.0,575.0,575.0
2026-07-23,8,4927,13427,0.39998488788291614,5.2504722804230415,650.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,800.0,200.0,400.0,575.0,775.0,200.0,350.0,575.0,800.0,575.0,575.0,575.0,575.0,575.0,575.0
