date,hour,n_hl,n_bn,rho,kappa,real,m_k0_L200,m_k0_L400,m_k0_L575,m_k0_L800,m_k0.25_L200,m_k0.25_L400,m_k0.25_L575,m_k0.25_L800,m_k1_L200,m_k1_L400,m_k1_L575,m_k1_L800,m_k4_L200,m_k4_L400,m_k4_L575,m_k4_L800,d_0.5,d_1,d_2,d_4,d_8,d_full,ld_full_k0,ld_thin_k0,ld_full_k1,ld_thin_k1
2026-07-18,0,2066,6114,0.12468916978676885,63.31948129714135,600.0,200.0,475.0,575.0,850.0,200.0,400.0,700.0,1175.0,150.0,-1125.0,-1825.0,-775.0,1175.0,1775.0,-1200.0,425.0,-1050.0,1325.0,1075.0,0.0,0.0,0.0,575.0,275.0,-1825.0,25.0
2026-07-18,16,1727,6449,0.2823987221251512,11.539336170624088,650.0,150.0,400.0,575.0,850.0,625.0,400.0,650.0,850.0,175.0,500.0,650.0,1450.0,50.0,775.0,575.0,1350.0,1150.0,675.0,1150.0,675.0,675.0,675.0,575.0,825.0,825.0,525.0
2026-07-19,0,2198,6415,0.1208563515703802,67.46380637113232,675.0,250.0,400.0,600.0,850.0,425.0,350.0,1425.0,850.0,50.0,450.0,1700.0,-1675.0,1825.0,100.0,1625.0,-1650.0,825.0,550.0,625.0,625.0,625.0,625.0,600.0,675.0,1250.0,-1325.0
2026-07-19,16,2007,8444,0.1721670656923136,32.736486017835766,675.0,300.0,400.0,575.0,850.0,350.0,425.0,600.0,850.0,1200.0,1250.0,600.0,-2000.0,-425.0,-1650.0,1275.0,-1275.0,675.0,650.0,650.0,575.0,575.0,575.0,575.0,400.0,625.0,-1000.0
2026-07-20,0,6256,12701,0.4117076961796203,4.899592692994618,600.0,200.0,400.0,575.0,800.0,225.0,400.0,600.0,800.0,225.0,400.0,575.0,800.0,225.0,400.0,575.0,1225.0,500.0,600.0,625.0,600.0,600.0,600.0,575.0,525.0,575.0,625.0
2026-07-20,8,2041,7243,0.26197420393452764,13.570784709752225,750.0,200.0,400.0,575.0,800.0,200.0,425.0,725.0,850.0,175.0,275.0,1200.0,1250.0,-75.0,800.0,975.0,800.0,975.0,775.0,650.0,650.0,650.0,650.0,575.0,500.0,575.0,675.0
2026-07-20,16,3549,11009,0.3559956269290242,6.890611730425147,600.0,200.0,425.0,575.0,800.0,200.0,450.0,575.0,800.0,225.0,450.0,775.0,900.0,1800.0,-425.0,650.0,825.0,600.0,600.0,600.0,600.0,600.0,600.0,575.0,675.0,575.0,350.0
2026-07-21,0,3331,7070,0.28919514344330577,10.956883813026453,750.0,200.0,400.0,575.0,800.0,250.0,425.0,575.0,825.0,350.0,225.0,575.0,775.0,275.0,1975.0,550.0,1050.0,950.0,575.0,625.0,625.0,625.0,625.0,575.0,575.0,575.0,675.0
2026-07-21,8,2576,7387,0.1909279689850164,26.432216176966048,600.0,200.0,450.0,600.0,850.0,325.0,375.0,575.0,925.0,400.0,450.0,575.0,700.0,750.0,-1975.0,500.0,1225.0,700.0,575.0,700.0,575.0,575.0,575.0,600.0,575.0,600.0,75.0
2026-07-21,16,2599,6585,0.18976113292868332,26.77061329096211,800.0,225.0,450.0,575.0,850.0,300.0,-225.0,950.0,1000.0,200.0,775.0,975.0,950.0,-450.0,-1550.0,1325.0,1225.0,625.0,625.0,650.0,625.0,625.0,625.0,575.0,500.0,1000.0,2000.0
2026-07-22,0,2831,7254,0.21807202830943856,20.028101952277062,550.0,225.0,425.0,575.0,800.0,500.0,425.0,675.0,825.0,325.0,300.0,525.0,875.0,-1350.0,-400.0,475.0,875.0,250.0,625.0,625.0,775.0,775.0,775.0,575.0,600.0,975.0,600.0
2026-07-22,8,1996,7770,0.2132230268281072,20.99539632540305,550.0,200.0,400.0,700.0,800.0,250.0,400.0,575.0,850.0,1625.0,425.0,1500.0,775.0,200.0,-1525.0,625.0,-1500.0,125.0,600.0,675.0,625.0,625.0,625.0,700.0,425.0,700.0,1575.0
2026-07-22,16,4984,10266,0.3212900285656366,8.687361482455731,625.0,250.0,400.0,575.0,825.0,200.0,400.0,625.0,775.0,225.0,400.0,550.0,750.0,425.0,550.0,575.0,1300.0,850.0,575.0,600.0,575.0,575.0,575.0,575.0,575.0,650.0,475.0
2026-07-23,0,2593,11081,0.22475101659129845,18.796876344230295,600.0,225.0,400.0,575.0,825.0,225.0,450.0,650.0,925.0,2000.0,400.0,-1625.0,1175.0,275.0,1550.0,-1725.0,-375.0,625.0,1025.0,575.0,625.0,625.0,625.0,575.0,600.0,600.0,575.0
