k,xmin,n,family,n_params,ks,p,on_bound,params
11252,80997.3757,11252,genpareto,2,0.05417493255081393,0.0,0,"1.265, 6.102e+04"
11252,80997.3757,11252,loggamma,2,0.09343922998890072,0.0,1,"0.001, 1.077"
11252,80997.3757,11252,burr12,3,0.09431236062323861,0.0,0,"1.001, 1.003, 0.002532"
11252,80997.3757,11252,gengamma,3,0.11114863031375433,0.0,1,"0.001, 0.1093, 0.001"
12914,70138.5608,12914,genpareto,2,0.05280732078935951,0.0,0,"1.154, 6.025e+04"
12914,70138.5608,12914,loggamma,2,0.07792036842809458,0.0,1,"0.001, 1.086"
12914,70138.5608,12914,burr12,3,0.07911775386045877,0.0,0,"1.116, 0.8934, 0.001456"
12914,70138.5608,12914,gengamma,3,0.10211271899218427,0.0,1,"0.03783, 0.1097, 0.001"
14822,59858.9516,14822,genpareto,2,0.05258283380149398,0.0,0,"1.078, 5.776e+04"
14822,59858.9516,14822,loggamma,2,0.0610136516029694,0.0,1,"0.001, 1.109"
14822,59858.9516,14822,burr12,3,0.06240339248755189,0.0,0,"1.01, 0.9687, 0.002228"
14822,59858.9516,14822,gengamma,3,0.08793332267309761,0.0,1,"0.001, 0.1095, 0.001"
17012,50227.8099,17012,genpareto,2,0.05323259629227323,0.0,0,"1.017, 5.492e+04"
17012,50227.8099,17012,loggamma,2,0.05287519479872843,0.0,0,"4.785, 0.8029"
17012,50227.8099,17012,burr12,3,0.05802154829743755,0.0,0,"7.433, 0.1332, 4.502e+04"
17012,50227.8099,17012,gengamma,3,0.0728622323232529,0.0,1,"0.001, 0.109, 0.001"
19525,42891.3235,19525,genpareto,2,0.04749334725644683,0.0,0,"1.01, 4.835e+04"
19525,42891.3235,19525,loggamma,2,0.04699897293430011,0.0,0,"6.172, 0.7415"
19525,42891.3235,19525,burr12,3,0.047313309481399446,0.0,0,"4.208, 0.2322, 3.07e+04"
19525,42891.3235,19525,gengamma,3,0.06420896264608789,0.0,1,"0.00101, 0.1091, 0.001"
22409,36472.0,22409,genpareto,2,0.04232878491549197,0.0,0,"1.003, 4.252e+04"
22409,36472.0,22409,loggamma,2,0.042291594035783975,0.0,0,"7.634, 0.6855"
22409,36472.0,22409,burr12,3,0.039991865578233976,0.0,0,"3.081, 0.3153, 2.252e+04"
22409,36472.0,22409,gengamma,3,0.05610996454456285,0.0,1,"0.001, 0.1092, 0.001"
25720,30214.7859,25720,genpareto,2,0.040878256752377884,0.0,0,"0.9749, 3.877e+04"
25720,30214.7859,25720,loggamma,2,0.04169438430307715,0.0,0,"12.3, 0.5507"
25720,30214.7859,25720,burr12,3,0.0352173186915119,0.0,0,"2.936, 0.3315, 2.225e+04"
25720,30214.7859,25720,gengamma,3,0.04825028673595655,0.0,1,"0.001, 0.1087, 0.001"
29519,24999.0453,29519,genpareto,2,0.03681903614927173,0.0,0,"0.9656, 3.441e+04"
29519,24999.0453,29519,loggamma,2,0.03944031031261008,0.0,0,"15.19, 0.4899"
29519,24999.0453,29519,burr12,3,0.03127005652789583,0.0,0,"2.2, 0.4439, 1.78e+04"
29519,24999.0453,29519,gengamma,3,0.04214020833868304,0.0,1,"0.001002, 0.1082, 0.001"
