id,role,vault_name,fills,volume_usd,fee_usd,closed_pnl_usd,maker_frac,twap_frac,n_coins,median_gap_ms,p10_gap_ms
61adc2603bc31e8b,subAccount,,175977,401851788.0,11511.4,-445154.63,0.1246,0.0,19,0.0,0.0
58fed060a815e95d,user,,4262,85465688.0,24816.52,276327.07,0.0,0.0455,4,0.0,0.0
a048410c87ecc77e,user,,52793,84013144.0,-9821.48,103820.06,0.6758,0.0,110,202.0,0.0
e77db4cd600ad2a0,subAccount,,36990,83417482.0,1516.03,15215.77,0.2001,0.0,26,0.0,0.0
db2a59f4dc95a3ce,user,,17205,81247614.0,1315.22,61095.48,0.8879,0.0,49,56.0,0.0
243a6821d7907f67,subAccount,,22211,75864337.0,-225.86,11096.93,0.9982,0.0,13,198.0,0.0
dd6031b547de44ac,subAccount,,32850,71546508.0,1776.46,112097.02,0.4824,0.0,100,0.0,0.0
a82a20253a880377,subAccount,,17736,59105189.0,201.0,-8699.69,0.9365,0.0,51,205.0,0.0
a9a63103c79b6f8a,subAccount,,18108,56429881.0,1138.75,-55470.3,0.0746,0.0,7,0.0,0.0
d6156997481d0750,user,,28833,49857375.0,3829.42,5142.54,0.3465,0.0,19,66.0,0.0
f9ec19b2f8402656,subAccount,,15351,45847536.0,-130.18,6500.57,0.9962,0.0,54,228.0,0.0
178b7559269bd550,subAccount,,11149,43342862.0,217.81,-234.58,0.8316,0.0,5,108.0,0.0
036921c8b4d8e43b,user,,10056,40885624.0,1199.19,6213.13,0.6667,0.0,14,335.0,0.0
b4dcc49101f46045,subAccount,,8168,40467316.0,-443.55,-4029.57,0.9613,0.0,51,740.0,0.0
05024b9e7663125d,subAccount,,20654,39426469.0,526.77,15988.97,0.226,0.0,27,133.0,0.0
8e58656cf775db74,subAccount,,17970,39396858.0,50.23,-46.03,0.9019,0.0,28,108.0,0.0
fe1e51d7e5a08807,user,,1235,35506414.0,7953.44,-22959.14,0.0,0.0,2,0.0,0.0
14c174aaec579e94,subAccount,,109599,33934456.0,-126.08,840.51,0.9994,0.0,224,132.0,0.0
6b41c9f4886d80ec,subAccount,,12224,32719282.0,584.03,20396.91,0.2145,0.0,2,0.0,0.0
09fc4716005a94ba,user,,11188,30874239.0,1346.32,-22091.6,0.2041,0.0,68,85.0,0.0
9cf3557048723be7,subAccount,,818,30536762.0,1900.47,20833.31,0.302,0.0,1,0.0,0.0
7f06999bda4334c7,subAccount,,24271,30405766.0,1106.76,-442.67,0.0,0.0,8,199.0,0.0
97ce401e5263ac05,user,,9417,29008440.0,5249.68,2768.33,0.1013,0.637,22,0.0,0.0
aa98140d3fbc0815,subAccount,,17685,28447705.0,-28.44,259.17,1.0,0.0,6,63.0,0.0
64797aa2d9cae9be,subAccount,,11396,28141248.0,31.55,1118.34,0.8912,0.0,2,200.0,0.0
f769fbe8c9358f25,user,,59961,27367890.0,-81.91,792.36,1.0,0.0,12,157.0,0.0
7c961dbe6deb436a,subAccount,,8502,26991158.0,361.42,20043.1,0.1928,0.0,8,65.0,0.0
85773e3c2345a6e1,subAccount,,5970,26425719.0,379.56,-14109.95,0.3966,0.0,52,0.0,0.0
04766034e1cf17c7,user,,5756,25836842.0,505.45,131462.51,0.779,0.0,3,0.0,0.0
f6b880a06e1a544e,user,,2159,25195500.0,16941.16,-5018.38,0.4257,0.0,1,0.0,0.0
8ad65cb4b9341564,subAccount,,29910,23354286.0,173.66,3358.43,1.0,0.0,108,203.0,0.0
d14674e1038cd208,subAccount,,29605,22998862.0,158.26,137.31,1.0,0.0,107,204.0,0.0
6084795d25e7f94c,subAccount,,486,22955002.0,-130.93,46924.52,0.5761,0.0,1,0.0,0.0
900cd91026ea5836,subAccount,,29944,22915530.0,164.02,1981.79,0.9999,0.0,107,202.0,0.0
9120cdb66c62ee69,subAccount,,29594,22819319.0,165.25,-539.98,1.0,0.0,107,203.0,0.0
706f85ed8c297962,subAccount,,554,22300544.0,1072.4,-257.82,0.6119,0.0,2,888.0,0.0
61105ff253115c80,user,,3626,21421254.0,532.88,-832295.59,0.6178,0.0587,1,0.0,0.0
bceac3a176ece50b,user,,1108,21212409.0,6325.88,305899.28,0.0,0.0,1,0.0,0.0
ac66e137dd280523,user,,2223,19687368.0,1417.49,-98198.25,0.0,0.0,1,0.0,0.0
5d0580f8bc8538f8,subAccount,,172,18201362.0,335.85,-2428.22,0.8721,0.0,1,5673.0,0.0
7f0eedfeea64c59d,user,,903,17996989.0,5039.16,0.0,0.0,0.0,2,0.0,0.0
a4593530847665ea,subAccount,,7401,17794912.0,180.51,-337.91,0.7054,0.0,34,1002.0,0.0
c96322e3bd98e2d9,subAccount,,7945,17353064.0,148.45,-5410.31,0.9461,0.0,7,134.0,0.0
3bd0176e4ff3c0dd,subAccount,,7264,17021534.0,156.26,257.15,0.745,0.0,34,1057.0,0.0
2eb70b102c8d6da2,subAccount,,7904,16693380.0,721.52,9920.67,0.2556,0.0,41,201.0,0.0
45714c07a891a70f,user,,22869,16666319.0,43.29,2764.27,0.7455,0.0,39,404.0,0.0
1d88c6eb73c94054,subAccount,,4518,16321114.0,-34.76,-1238.54,0.977,0.0,7,1826.0,0.0
2edee8571f1a17e7,subAccount,,5492,15966868.0,24.45,372.98,0.8693,0.0,6,1410.0,0.0
b095ee4280add98d,subAccount,,4697,15934526.0,-47.8,4126.43,1.0,0.0,5,933.0,0.0
80da03b40dc9e3eb,subAccount,,3168,15696628.0,56.45,-15769.46,0.8567,0.0,2,668.0,0.0
a141002b9fa8a25b,?,,17953,15637737.0,476.19,1693.63,0.0299,0.0,1,0.0,0.0
99b2191096ba8cb6,?,,8557,15534150.0,282.43,7472.49,0.9516,0.0,3,208.5,0.0
263e6b96a42d377b,user,,710,15522929.0,-96.05,-65229.22,1.0,0.0,2,0.0,0.0
1386aa13022c8911,subAccount,,25835,15112315.0,550.26,646.23,0.0,0.0,13,203.0,0.0
81ed95ac230af2a6,?,,16743,14997458.0,457.24,-2905.24,0.613,0.0,78,203.0,0.0
d9e93890cb425eb8,?,,3422,14996178.0,643.04,37800.27,0.0,0.0,40,0.0,0.0
1b029dcb730d6dd1,user,,2911,14954122.0,875.39,171295.81,0.2058,0.0591,6,0.0,0.0
709400b03987fe9f,?,,1487,14584364.0,-43.75,2071.56,1.0,0.0,2,1815.0,0.0
d0642e64395e4171,subAccount,,843,14569178.0,190.16,-1112.01,0.6251,0.0,1,599.0,0.0
479549c3f972c4cb,?,,2734,14560647.0,1463.43,-32434.92,0.0,0.1342,7,0.0,0.0
