x y
0.0005 0.999997
0.0006 0.999994
0.0009 0.999991
0.0011 0.999989
0.0012 0.999986
0.0016 0.999983
0.0019 0.99998
0.0019 0.999977
0.002 0.999974
0.002 0.999972
0.0027 0.999969
0.0028 0.999966
0.0033 0.999963
0.0034 0.99996
0.0036 0.999954
0.0038 0.999952
0.004 0.999946
0.0045 0.99994
0.0045 0.999935
0.0048 0.999929
0.005 0.999923
0.0056 0.999915
0.0068 0.999906
0.0073 0.999898
0.0081 0.999889
0.0093 0.999878
0.0099 0.999866
0.0109 0.999852
0.0117 0.999838
0.0127 0.999824
0.0139 0.999807
0.0152 0.999787
0.0168 0.999767
0.0186 0.999744
0.0202 0.999718
0.022 0.999693
0.0247 0.999662
0.0283 0.99963
0.0306 0.999593
0.0327 0.999556
0.0364 0.999511
0.041 0.999465
0.0484 0.999414
0.0562 0.999357
0.0649 0.999295
0.0747 0.999226
0.0809 0.999153
0.0872 0.999073
0.0939 0.998982
0.1076 0.998885
0.126 0.998777
0.1508 0.998661
0.1744 0.99853
0.1993 0.99839
0.2207 0.998234
0.2587 0.998063
0.2974 0.997879
0.3384 0.997674
0.391 0.997449
0.4439 0.997205
0.5433 0.996937
0.639 0.996642
0.7324 0.996317
0.862 0.995965
1.0305 0.995575
1.2739 0.995149
1.6142 0.994682
2.0616 0.99417
2.6728 0.99361
3.6145 0.992996
4.708 0.992322
5.7445 0.991582
6.7694 0.990772
7.397 0.989885
8.1285 0.988912
8.7961 0.987843
9.3139 0.986674
9.5875 0.985392
9.8417 0.983987
10.0765 0.982446
10.3312 0.980756
10.6003 0.978905
10.9194 0.976875
11.2597 0.974648
11.3975 0.972211
11.6957 0.969535
12.0177 0.966603
12.4112 0.96339
12.7114 0.959866
13.1588 0.956004
13.75 0.951773
14.259 0.947132
15.2386 0.942044
16.7219 0.936468
18.3956 0.930354
19.9309 0.923651
21.8693 0.916306
24.4113 0.908252
27.3489 0.899422
30.6733 0.889745
34.9216 0.879135
39.697 0.867507
45.028 0.854755
50.8365 0.840781
58.95 0.825459
69.58 0.808664
81.8586 0.790253
95.1465 0.770068
110.294 0.747944
132.944 0.72369
161.95 0.697101
196.218 0.667955
239.258 0.636002
301.312 0.600976
389.671 0.56258
490.609 0.520489
661.254 0.474347
921.824 0.423768
1293.71 0.368317
1991.49 0.307535
3439.38 0.2409
7262.91 0.167855
23536.8 0.087781
9.70575e+07 2.84375e-06
