x y
0.0005 0.999999
0.0006 0.999998
0.0009 0.999997
0.0011 0.999996
0.0012 0.999995
0.0016 0.999994
0.0019 0.999993
0.0019 0.999992
0.002 0.999991
0.002 0.99999
0.0027 0.999989
0.0028 0.999988
0.0028 0.999987
0.0034 0.999985
0.0036 0.999984
0.0038 0.999982
0.004 0.99998
0.0045 0.999978
0.0045 0.999976
0.0048 0.999973
0.0054 0.999971
0.0057 0.999968
0.0069 0.999964
0.0077 0.99996
0.0087 0.999956
0.0093 0.999952
0.01 0.999947
0.0112 0.999941
0.012 0.999935
0.0139 0.999928
0.0148 0.999921
0.017 0.999912
0.0189 0.999903
0.0206 0.999894
0.0237 0.999883
0.0265 0.99987
0.0297 0.999857
0.0322 0.999842
0.0359 0.999825
0.039 0.999807
0.048 0.999786
0.0563 0.999764
0.0654 0.999739
0.0749 0.999712
0.0821 0.999682
0.0885 0.999649
0.0939 0.999612
0.1085 0.999571
0.1283 0.999526
0.1559 0.999478
0.1803 0.999423
0.2047 0.999362
0.228 0.999296
0.265 0.999222
0.3066 0.99914
0.3578 0.999051
0.4038 0.998951
0.4597 0.998842
0.571 0.998722
0.665 0.998587
0.7611 0.99844
0.8822 0.998277
1.0444 0.998097
1.2739 0.997898
1.5393 0.997678
1.8553 0.997435
2.242 0.997167
2.7278 0.99687
3.3378 0.996544
4.0217 0.996182
4.7235 0.995783
5.5264 0.995342
6.3141 0.994856
7.1036 0.994317
7.877 0.993723
8.6288 0.993067
9.3115 0.992342
9.6822 0.991542
9.9965 0.990657
10.0994 0.989681
10.2285 0.988602
10.4094 0.98741
10.5423 0.986095
10.6296 0.98464
10.702 0.983034
10.8118 0.981262
11.0035 0.979303
11.0773 0.977139
11.2264 0.974749
11.3626 0.972109
11.501 0.969193
11.628 0.965972
11.9245 0.962416
12.2025 0.958486
12.4555 0.954146
12.833 0.949353
13.3888 0.944058
14.1643 0.938211
15.0934 0.931751
16.3116 0.924616
17.3648 0.916735
18.8604 0.90803
20.1538 0.898416
21.9383 0.887797
24.9886 0.876067
28.7973 0.863111
34.072 0.848801
41.6 0.832994
49.6031 0.815535
59.8475 0.796251
78.3351 0.774952
98.9997 0.751425
122.449 0.725439
161.732 0.696736
200.327 0.665032
262.344 0.630015
333.498 0.591336
415.453 0.548615
552.554 0.501427
775.42 0.449306
1007.33 0.391736
1575.88 0.328149
2572.33 0.257913
4999.53 0.180335
13150.2 0.0946469
1.099e+07 9.94869e-07
